cohort_type,cohort,predictor,causality_class,ranking_valid,sample_count,candidate_bank_semantics,top1_flip_vs_P0_rate,top3_flip_vs_P0_rate,mode_flip_vs_P0_rate,feasibility_flip_vs_P0_rate,top1_agreement_with_P5_rate,top1_recovery_eligible_count,top1_recovered_count,top1_recovery_rate,top1_new_error_count,mode_recovery_eligible_count,mode_recovered_count,mode_recovery_rate,mode_new_error_count,top3_jaccard_vs_P5,S2_changed_command_rate,diagnostic_top1_voltage_changed_rate
aggregate,REPRODUCTION_ALL,P0,causal_original,1,24153,offline_diagnostic_candidate_bank_not_native_Zhou_candidates,0,0,0,0,0.988655653542003,274,0,0,0,227,0,0,0,0.968989359499855,0,0.0386287417712085
aggregate,REPRODUCTION_ALL,P1,causal_original,1,24153,offline_diagnostic_candidate_bank_not_native_Zhou_candidates,0.0941083923322155,0.165403883575539,0.0577982031217654,0.176458410963441,0.902952014242537,274,83,0.302919708029197,2153,227,70,0.308370044052863,1289,0.912710636359872,0,0.110669482051919
aggregate,REPRODUCTION_ALL,P2a,causal_previous_period_oracle,1,24129,offline_diagnostic_candidate_bank_not_native_Zhou_candidates,0.0150026938538688,0.0460441792034481,0.00770856645530275,0.0268556508765386,0.976542749388702,274,35,0.127737226277372,327,227,22,0.0969162995594714,164,0.959737245638029,0,0.0491939160346471
aggregate,REPRODUCTION_ALL,P2b,offline_physical_parameter_oracle,1,24153,offline_diagnostic_candidate_bank_not_native_Zhou_candidates,0.143750258767027,0.212147559309403,0.0642570281124498,0.193392125201838,0.855752908541382,274,130,0.474452554744526,3340,227,113,0.497797356828194,1437,0.895424998964932,0,0.163085331014781
aggregate,REPRODUCTION_ALL,P2c,noncausal_future_endpoint_oracle,0,24153,offline_diagnostic_candidate_bank_not_native_Zhou_candidates,0.0160642570281124,0.0447977476917981,0.0130418581542666,0.0275328116590072,NaN,0,0,NaN,0,0,0,NaN,0,NaN,0,0.0445079286217033
aggregate,REPRODUCTION_ALL,P3a,causal_previous_period_oracle,1,24129,offline_diagnostic_candidate_bank_not_native_Zhou_candidates,0.00998798126735463,0.0537941895644245,0.00949065439927059,0.0247005677815077,0.996145716772349,274,211,0.77007299270073,30,227,199,0.876651982378855,30,0.988354262505699,0,0.0392888225786398
aggregate,REPRODUCTION_ALL,P3b,offline_physical_parameter_oracle,1,24153,offline_diagnostic_candidate_bank_not_native_Zhou_candidates,0.0101850701776177,0.0591230902993417,0.00948122386453029,0.0304724050842545,0.996025338467271,274,212,0.773722627737226,34,227,195,0.859030837004405,34,0.987496377261624,0,0.0402020452945804
aggregate,REPRODUCTION_ALL,P3c,noncausal_future_endpoint_oracle,0,24153,offline_diagnostic_candidate_bank_not_native_Zhou_candidates,0.0108889164907051,0.0551898314909121,0.00919140479443547,0.0267875626216205,NaN,0,0,NaN,0,0,0,NaN,0,NaN,0,0.0409058916076678
aggregate,REPRODUCTION_ALL,P4,offline_physical_parameter_oracle,1,24153,offline_diagnostic_candidate_bank_not_native_Zhou_candidates,0.0108889164907051,0.0556866641825032,0.00919140479443547,0.0267875626216205,0.998054071957935,274,245,0.894160583941606,18,227,204,0.898678414096916,18,0.99051877613547,0,0.0409058916076678
aggregate,REPRODUCTION_ALL,P5,offline_plant_replay_oracle,1,24153,offline_diagnostic_candidate_bank_not_native_Zhou_candidates,0.0113443464579969,0.0620212810002898,0.00939841841593177,0.0305966132571523,1,274,274,1,0,227,227,1,0,1,0,0.0411129052291641
aggregate,ENGINEERING_PRIMARY,P0,causal_original,1,23699,offline_diagnostic_candidate_bank_not_native_Zhou_candidates,0,0,0,0,0.988522722477742,272,0,0,0,226,0,0,0,0.969070424912444,0,0.0389889868770834
aggregate,ENGINEERING_PRIMARY,P1,causal_original,1,23699,offline_diagnostic_candidate_bank_not_native_Zhou_candidates,0.0959112198826955,0.168572513608169,0.0589054390480611,0.179838811764209,0.901177264863496,272,83,0.305147058823529,2153,226,70,0.309734513274336,1289,0.911713574412422,0,0.112409806320942
aggregate,ENGINEERING_PRIMARY,P2a,causal_previous_period_oracle,1,23677,offline_diagnostic_candidate_bank_not_native_Zhou_candidates,0.0152046289648182,0.0462051780208641,0.00781348988469823,0.0272838619757571,0.976094944460869,272,33,0.121323529411765,327,226,21,0.0929203539823009,164,0.959961143725979,0,0.0497529247793217
aggregate,ENGINEERING_PRIMARY,P2b,offline_physical_parameter_oracle,1,23699,offline_diagnostic_candidate_bank_not_native_Zhou_candidates,0.146419680155281,0.215452128781805,0.0654457994008186,0.196632769315161,0.852989577619309,272,128,0.470588235294118,3340,226,112,0.495575221238938,1437,0.894392168445926,0,0.165829781847335
aggregate,ENGINEERING_PRIMARY,P2c,noncausal_future_endpoint_oracle,0,23699,offline_diagnostic_candidate_bank_not_native_Zhou_candidates,0.0162876070720284,0.0447698215114562,0.0132495041984894,0.0275961011013123,NaN,0,0,NaN,0,0,0,NaN,0,NaN,0,0.0449808008776742
