upstream_project,source_absolute_path,source_relative_path,file_size_bytes,modified_time,sha256,copied_to_new_project,byte_identical,destination_absolute_path,destination_relative_path,use_in_new_project
ipmsm_probe,C:\Users\catkin\Documents\baseline_zhou\zhou_icf_mpc_ipmsm_probe_iter01\FINAL_IPMSM_PROBE_REPORT.md,FINAL_IPMSM_PROBE_REPORT.md,3010,2026-07-12T21:15:20.000,784f992a37c792d02ecfbb39f82ca09092263487f3a9967d1c5ea0430093d745,1,1,C:\Users\catkin\Documents\baseline_zhou\zhou_icf_mpc_model_error_decomposition_iter01\reference\upstream_snapshots\ipmsm_probe\FINAL_IPMSM_PROBE_REPORT.md,reference\upstream_snapshots\ipmsm_probe\FINAL_IPMSM_PROBE_REPORT.md,frozen evidence snapshot
ipmsm_probe,C:\Users\catkin\Documents\baseline_zhou\zhou_icf_mpc_ipmsm_probe_iter01\README.md,README.md,2514,2026-07-12T20:56:58.000,d62bea57b4d83a6d60cfeb191009d7aa36c1e38e2228cdcbedbac09ae1a02325,1,1,C:\Users\catkin\Documents\baseline_zhou\zhou_icf_mpc_model_error_decomposition_iter01\reference\upstream_snapshots\ipmsm_probe\README.md,reference\upstream_snapshots\ipmsm_probe\README.md,frozen evidence snapshot
jd_jq_audit,C:\Users\catkin\Documents\baseline_zhou\baseline_zhou-main\baseline_zhou-main\zhou_icf_mpc_constraint_audit_v1\README.md,README.md,1332,2026-07-15T10:43:56.000,3029cdab50c8d2e57e25e129c463ef689a1386018af9ff7cd917b88e76a2b8a3,1,1,C:\Users\catkin\Documents\baseline_zhou\zhou_icf_mpc_model_error_decomposition_iter01\reference\upstream_snapshots\jd_jq_audit\README.md,reference\upstream_snapshots\jd_jq_audit\README.md,frozen evidence snapshot
jd_jq_audit,C:\Users\catkin\Documents\baseline_zhou\baseline_zhou-main\baseline_zhou-main\zhou_icf_mpc_constraint_audit_v1\results\summary\06_pareto_fronts_data.csv,results\summary\06_pareto_fronts_data.csv,669078,2026-07-15T11:04:10.000,cdfd03b1aaa0817ff1de5cead31a967b84bbdf3292e1fdc17099617de0197231,1,1,C:\Users\catkin\Documents\baseline_zhou\zhou_icf_mpc_model_error_decomposition_iter01\reference\upstream_snapshots\jd_jq_audit\all_constraint_cases.csv,reference\upstream_snapshots\jd_jq_audit\all_constraint_cases.csv,frozen evidence snapshot
jd_jq_audit,C:\Users\catkin\Documents\baseline_zhou\baseline_zhou-main\baseline_zhou-main\zhou_icf_mpc_constraint_audit_v1\results\summary\20260715_104605\vector_mode_distribution.csv,results\summary\20260715_104605\vector_mode_distribution.csv,98113,2026-07-15T11:04:10.000,174228ffb51ed3b371097b8fa16e1176641f1cca39d6fa262488299766b6a57e,1,1,C:\Users\catkin\Documents\baseline_zhou\zhou_icf_mpc_model_error_decomposition_iter01\reference\upstream_snapshots\jd_jq_audit\vector_mode_distribution.csv,reference\upstream_snapshots\jd_jq_audit\vector_mode_distribution.csv,frozen evidence snapshot
robust_residual,C:\Users\catkin\Documents\baseline_zhou\zhou_icf_mpc_ipmsm_robust_constraint_iter01\CALIBRATION_SCENARIOS.csv,CALIBRATION_SCENARIOS.csv,3402,2026-07-13T12:20:38.000,387a6a12fad05ed5cc2f22aac517707c15023ebb646f4aa505db30d84c2b99f7,1,1,C:\Users\catkin\Documents\baseline_zhou\zhou_icf_mpc_model_error_decomposition_iter01\reference\upstream_snapshots\robust_residual\CALIBRATION_SCENARIOS.csv,reference\upstream_snapshots\robust_residual\CALIBRATION_SCENARIOS.csv,frozen evidence snapshot
robust_residual,C:\Users\catkin\Documents\baseline_zhou\zhou_icf_mpc_ipmsm_robust_constraint_iter01\DATA_SPLIT.md,DATA_SPLIT.md,479,2026-07-13T12:20:38.000,bdd3703430f2be227f34c0a946e5fee672795c68a10bbc12299ca0c21c5b80a0,1,1,C:\Users\catkin\Documents\baseline_zhou\zhou_icf_mpc_model_error_decomposition_iter01\reference\upstream_snapshots\robust_residual\DATA_SPLIT.md,reference\upstream_snapshots\robust_residual\DATA_SPLIT.md,frozen evidence snapshot
robust_residual,C:\Users\catkin\Documents\baseline_zhou\zhou_icf_mpc_ipmsm_robust_constraint_iter01\EXPERIMENT_HANDOFF.md,EXPERIMENT_HANDOFF.md,3436,2026-07-13T12:35:41.000,59d0b7de787d17209971c5d050cf7b828aeb68c3998a2929d1005bfa9cc171dd,1,1,C:\Users\catkin\Documents\baseline_zhou\zhou_icf_mpc_model_error_decomposition_iter01\reference\upstream_snapshots\robust_residual\EXPERIMENT_HANDOFF.md,reference\upstream_snapshots\robust_residual\EXPERIMENT_HANDOFF.md,frozen evidence snapshot
robust_residual,C:\Users\catkin\Documents\baseline_zhou\zhou_icf_mpc_ipmsm_robust_constraint_iter01\FINAL_ROBUST_CONSTRAINT_REPORT.md,FINAL_ROBUST_CONSTRAINT_REPORT.md,8090,2026-07-13T12:35:41.000,9b422e977af61320d90827e9e2e79643b13e6a13b8b8771f1ef2e0e2fb6385fa,1,1,C:\Users\catkin\Documents\baseline_zhou\zhou_icf_mpc_model_error_decomposition_iter01\reference\upstream_snapshots\robust_residual\FINAL_ROBUST_CONSTRAINT_REPORT.md,reference\upstream_snapshots\robust_residual\FINAL_ROBUST_CONSTRAINT_REPORT.md,frozen evidence snapshot
robust_residual,C:\Users\catkin\Documents\baseline_zhou\zhou_icf_mpc_ipmsm_robust_constraint_iter01\README.md,README.md,3382,2026-07-13T12:32:52.000,355d769615971cadd74f55caba4ed5e59e775f83cb68228bc3aba4f49e89da97,1,1,C:\Users\catkin\Documents\baseline_zhou\zhou_icf_mpc_model_error_decomposition_iter01\reference\upstream_snapshots\robust_residual\README.md,reference\upstream_snapshots\robust_residual\README.md,frozen evidence snapshot
