case_id,condition_id,stage,range_class,Jd_limit_A2,Jq_limit_A2,single_vector_ratio,double_vector_ratio,three_vector_ratio,zero_vector_dwell_ratio,mode_change_L1_vs_default,average_switching_frequency_Hz,total_switching_actions
A_C01_001,C01,coarse_scan,reasonable_extension_range,0.01,0,0.000644745325596389,0.286911669890393,0.71244358478401,0.873869205803864,1.42359767891683,12318.9340210617,5732
A_C01_002,C01,coarse_scan,reasonable_extension_range,0.01,0.0225,0.000644745325596389,0.477756286266925,0.521598968407479,0.873895518907907,1.04190844616376,11665.592091124,5428
A_C01_003,C01,coarse_scan,reasonable_extension_range,0.01,0.04,0.000644745325596389,0.607350096711799,0.392005157962605,0.874266836584589,0.782720825274016,11162.6907371588,5194
A_C01_004,C01,coarse_scan,reasonable_extension_range,0.01,0.16,0.372018052869117,0.295938104448743,0.332043842682141,0.874272133131983,0.74661508704062,7315.7102944337,3404
A_C01_005,C01,coarse_scan,reasonable_extension_range,0.01,0.64,0.429400386847195,0.392649903288201,0.177949709864603,0.874362640711788,0.553191489361702,6163.76531270148,2868
A_C01_006,C01,coarse_scan,reasonable_extension_range,0.01,1,0.453900709219858,0.379754996776273,0.166344294003868,0.871444147023243,0.578981302385558,5690.9520739308,2648
A_C01_007,C01,coarse_scan,reasonable_extension_range,0.04,0,0.000644745325596389,0.568020631850419,0.431334622823985,0.87404934270629,0.861379754996776,11364.710939179,5288
A_C01_008,C01,coarse_scan,reasonable_extension_range,0.04,0.0225,0.000644745325596389,0.973565441650548,0.0257898130238556,0.873946088270073,0.65892972275951,9791.53234472383,4556
A_C01_009,C01,coarse_scan,reasonable_extension_range,0.04,0.04,0.000644745325596389,0.966473243068988,0.0328820116054159,0.873336573689752,0.65892972275951,9512.14270363206,4426
A_C01_010,C01,coarse_scan,reasonable_extension_range,0.04,0.16,0.193423597678917,0.752417794970986,0.0541586073500967,0.874757528103463,0.273372018052868,8003.43864173651,3724
A_C01_011,C01,coarse_scan,reasonable_extension_range,0.04,0.64,0.242424242424242,0.725338491295938,0.0322372662798195,0.875339583934794,0.175370728562218,7388.78143133462,3438
A_C01_012,C01,coarse_scan,reasonable_extension_range,0.04,1,0.313346228239845,0.638942617666022,0.0477111540941328,0.875839663511451,0.0941328175370724,6756.93101225016,3144
A_C01_013,C01,coarse_scan,reasonable_extension_range,0.16,0,0.000644745325596389,0.998065764023211,0.00128949065119278,0.873729157267181,0.65892972275951,9898.9898989899,4606
A_C01_014,C01,coarse_scan,reasonable_extension_range,0.16,0.0225,0.000644745325596389,0.994842037395229,0.00451321727917473,0.866824198622386,0.65892972275951,8880.2922845476,4132
A_C01_015,C01,coarse_scan,reasonable_extension_range,0.16,0.04,0.000644745325596389,0.998710509348807,0.000644745325596389,0.868536162230076,0.65892972275951,8824.41435632925,4106
A_C01_016,C01,coarse_scan,reasonable_extension_range,0.16,0.16,0.330109606705351,0.669245647969052,0.000644745325596389,0.87109349269686,0,6090.69417580056,2834
A_C01_017,C01,coarse_scan,reasonable_extension_range,0.16,0.64,0.409413281753707,0.590586718246293,0,0.875550001458961,0.158607350096711,5433.05394369224,2528
A_C01_018,C01,coarse_scan,reasonable_extension_range,0.16,1,0.431334622823985,0.568665377176016,0,0.87581013595261,0.202450032237266,5200.94562647754,2420
A_C01_019,C01,coarse_scan,reasonable_extension_range,0.36,0,0.000644745325596389,0.998710509348807,0.000644745325596389,0.868131825762015,0.65892972275951,9464.861379755,4404
A_C01_020,C01,coarse_scan,reasonable_extension_range,0.36,0.0225,0.000644745325596389,0.998710509348807,0.000644745325596389,0.859942687991945,0.65892972275951,8656.78057167419,4028
A_C01_021,C01,coarse_scan,reasonable_extension_range,0.36,0.04,0.000644745325596389,0.999355254674404,0,0.864598894391971,0.660219213410703,9017.83795400817,4196
