name,speed_rpm,theta0_rad,id0_A,iq0_A,id_ref_A,iq_ref_A,reference_ramp_s,reference_profile,simulation_time_s,steady_window_start_s,Jd_limit_A2,Jq_limit_A2,alpha_mode,F_estimator,integration_step_s,motor_model,dc_bus_V,voltage_vector_scale,plant_Ld_scale,plant_Lq_scale,plant_Rs_scale,plant_psi_f_scale,split,scenario_id,random_seed,profile_type,measurement_noise_std_A,angle_error_deg,dead_time_s,voltage_drop_V,current_step_time_s
cal_nom_1,100,0.17,0,0,0,10,0.005,ramp,0.2,0.1,0.16,0.16,axis_specific,algebraic_iter11,2e-06,P1,48,0.666666666666667,1,1,1,1,calibration,cal_nom_1,1001,ramp,0,0,0,0,0.05
cal_nom_2,100,0.17,0,0,0,20,0.01,ramp,0.2,0.1,0.16,0.16,axis_specific,algebraic_iter11,2e-06,P1,48,0.666666666666667,1,1,1,1,calibration,cal_nom_2,1002,ramp,0,0,0,0,0.05
cal_nom_3,300,0.17,0,0,0,10,0.02,ramp,0.2,0.1,0.16,0.16,axis_specific,algebraic_iter11,2e-06,P1,48,0.666666666666667,1,1,1,1,calibration,cal_nom_3,1003,ramp,0,0,0,0,0.05
cal_nom_4,300,0.17,0,0,0,20,0.005,ramp,0.2,0.1,0.16,0.16,axis_specific,algebraic_iter11,2e-06,P1,48,0.666666666666667,1,1,1,1,calibration,cal_nom_4,1004,ramp,0,0,0,0,0.05
cal_nom_5,500,0.17,0,0,0,10,0.01,ramp,0.2,0.1,0.16,0.16,axis_specific,algebraic_iter11,2e-06,P1,48,0.666666666666667,1,1,1,1,calibration,cal_nom_5,1005,ramp,0,0,0,0,0.05
cal_nom_6,500,0.17,0,0,0,20,0.005,ramp,0.2,0.1,0.16,0.16,axis_specific,algebraic_iter11,2e-06,P1,48,0.666666666666667,1,1,1,1,calibration,cal_nom_6,1006,ramp,0,0,0,0,0.05
cal_Ld_0.9,300,0.17,0,0,0,20,0.007,ramp,0.2,0.1,0.16,0.16,axis_specific,algebraic_iter11,2e-06,P1,48,0.666666666666667,0.9,1,1,1,calibration,cal_Ld_0.9,1101,ramp,0,0,0,0,0.05
cal_Ld_1.1,300,0.17,0,0,0,20,0.007,ramp,0.2,0.1,0.16,0.16,axis_specific,algebraic_iter11,2e-06,P1,48,0.666666666666667,1.1,1,1,1,calibration,cal_Ld_1.1,1102,ramp,0,0,0,0,0.05
cal_Lq_0.9,300,0.17,0,0,0,20,0.007,ramp,0.2,0.1,0.16,0.16,axis_specific,algebraic_iter11,2e-06,P1,48,0.666666666666667,1,0.9,1,1,calibration,cal_Lq_0.9,1103,ramp,0,0,0,0,0.05
cal_Lq_1.1,300,0.17,0,0,0,20,0.007,ramp,0.2,0.1,0.16,0.16,axis_specific,algebraic_iter11,2e-06,P1,48,0.666666666666667,1,1.1,1,1,calibration,cal_Lq_1.1,1104,ramp,0,0,0,0,0.05
cal_Rs_0.8,300,0.17,0,0,0,20,0.007,ramp,0.2,0.1,0.16,0.16,axis_specific,algebraic_iter11,2e-06,P1,48,0.666666666666667,1,1,0.8,1,calibration,cal_Rs_0.8,1105,ramp,0,0,0,0,0.05
cal_Rs_1.2,300,0.17,0,0,0,20,0.007,ramp,0.2,0.1,0.16,0.16,axis_specific,algebraic_iter11,2e-06,P1,48,0.666666666666667,1,1,1.2,1,calibration,cal_Rs_1.2,1106,ramp,0,0,0,0,0.05
cal_psi_0.95,300,0.17,0,0,0,20,0.007,ramp,0.2,0.1,0.16,0.16,axis_specific,algebraic_iter11,2e-06,P1,48,0.666666666666667,1,1,1,0.95,calibration,cal_psi_0.95,1107,ramp,0,0,0,0,0.05
cal_psi_1.05,300,0.17,0,0,0,20,0.007,ramp,0.2,0.1,0.16,0.16,axis_specific,algebraic_iter11,2e-06,P1,48,0.666666666666667,1,1,1,1.05,calibration,cal_psi_1.05,1108,ramp,0,0,0,0,0.05
cal_vdc_46,500,0.17,0,0,0,20,0.007,ramp,0.2,0.1,0.16,0.16,axis_specific,algebraic_iter11,2e-06,P1,46,0.666666666666667,1,1,1,1,calibration,cal_vdc_46,1246,ramp,0,0,0,0,0.05
cal_vdc_48,500,0.17,0,0,0,20,0.007,ramp,0.2,0.1,0.16,0.16,axis_specific,algebraic_iter11,2e-06,P1,48,0.666666666666667,1,1,1,1,calibration,cal_vdc_48,1248,ramp,0,0,0,0,0.05
cal_vdc_50,500,0.17,0,0,0,20,0.007,ramp,0.2,0.1,0.16,0.16,axis_specific,algebraic_iter11,2e-06,P1,50,0.666666666666667,1,1,1,1,calibration,cal_vdc_50,1250,ramp,0,0,0,0,0.05
