scenario_id,case_category,range_class,case_id,sample_count,S2_sample_count,mean_unique_candidate_count,minimum_unique_candidate_count,maximum_unique_candidate_count,candidate_evaluation_count,invalid_bank_entry_count,avg_ul_prediction_gap_max_A,avg_ul_identity_tolerance_A,avg_ul_identity_pass,recorded_avg_prediction_gap_max_A,recorded_avg_reproduction_pass,avg_ul_top1_flip_count,avg_ul_top1_flip_rate,avg_ul_top3_set_flip_count,avg_ul_top3_set_flip_rate,avg_ul_case_flip_rate,avg_ul_mode_flip_rate,avg_plant_top1_flip_count,avg_plant_top1_flip_rate,avg_plant_top3_set_flip_count,avg_plant_top3_set_flip_rate,avg_plant_case_flip_rate,avg_plant_mode_flip_rate,top1_avg_vs_seq_ul_flip_rate,top1_avg_vs_seq_plant_flip_rate,top3_avg_vs_seq_ul_flip_rate,top3_avg_vs_seq_plant_flip_rate,mode_avg_vs_seq_plant_flip_rate,sequence_driven_top1_flip_count,sequence_driven_top1_flip_rate,model_F_aggregate_top1_flip_count,model_F_aggregate_top1_flip_rate,avg_final_selected_feasible_rate,ul_final_selected_feasible_rate,plant_final_selected_feasible_rate,avg_to_ul_feasibility_flip_rate,avg_safe_ul_unsafe_rate,avg_unsafe_ul_safe_rate,avg_to_plant_feasibility_flip_rate,avg_safe_plant_unsafe_rate,avg_unsafe_plant_safe_rate,actual_feasible_rate,avg_false_safe_rate,ul_false_safe_rate,plant_false_safe_rate,avg_false_safe_d_rate,avg_false_safe_q_rate,ul_false_safe_d_rate,ul_false_safe_q_rate,plant_false_safe_d_rate,plant_false_safe_q_rate,avg_false_alarm_rate,ul_false_alarm_rate,plant_false_alarm_rate,avg_false_alarm_d_rate,avg_false_alarm_q_rate,ul_false_alarm_d_rate,ul_false_alarm_q_rate,plant_false_alarm_d_rate,plant_false_alarm_q_rate,avg_to_ul_selected_prediction_gap_max_A,avg_to_plant_selected_prediction_gap_rms_A,avg_to_plant_candidate_gap_max_A,S2_avg_ul_top1_flip_rate,S2_avg_plant_top1_flip_rate,nonS2_avg_ul_top1_flip_rate,nonS2_avg_plant_top1_flip_rate,mean_avg_evaluation_time_s,mean_ul_evaluation_time_s,mean_plant_evaluation_time_s,bank_semantics,attribution_rule
C01_nominal_100rpm_10A,core,normal,C01_nominal_100rpm_10A,1198,0,13.7871452420701,13,14,49551,0,5.49308015822668e-15,2e-10,1,0,1,0,0,0,0,0,0,0,0,2,0.00166944908180301,0,0,0,0,0,0.00166944908180301,0,0,0,0,0,1,1,0.997495826377296,0,0,0,0.00250417362270451,0.00250417362270451,0,0.997495826377296,0.00250417362270451,0.00250417362270451,0,0.00250417362270451,0.000834724540901503,0.00250417362270451,0.000834724540901503,0,0,0,0,0,0,0,0,0,0,0,3.70596702891624e-15,0.0072728716589873,0.0645529586554833,NaN,NaN,0,0,0.00016539223706177,9.47732888146912e-05,0.00296740050083472,offline_diagnostic_candidate_bank_not_native_controller_candidates,avg_vs_UL=sequence_only;avg_vs_plant_with_UL_identity=model_F_aggregate
C02_light_100rpm_4A,core,normal,C02_light_100rpm_4A,1198,0,13.6644407345576,13,14,49110,0,3.20237283398938e-15,2e-10,1,0,1,0,0,0,0,0,0,0,0,19,0.0158597662771285,0,0,0,0,0,0.0158597662771285,0,0,0,0,0,1,1,0.999165275459099,0,0,0,0.000834724540901503,0.000834724540901503,0,0.999165275459099,0.000834724540901503,0.000834724540901503,0,0.000834724540901503,0.000834724540901503,0.000834724540901503,0.000834724540901503,0,0,0,0,0,0,0,0,0,0,0,1.40433338743068e-15,0.00473852134671849,0.0539337749213192,NaN,NaN,0,0,0.000146784724540902,8.37106844741236e-05,0.00286096552587646,offline_diagnostic_candidate_bank_not_native_controller_candidates,avg_vs_UL=sequence_only;avg_vs_plant_with_UL_identity=model_F_aggregate
C03_light_200rpm_6A,core,normal,C03_light_200rpm_6A,1198,0,14,14,14,50316,0,5.95808196779346e-15,2e-10,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.994991652754591,0,0,0,0.00500834724540901,0.00500834724540901,0,0.994991652754591,0.00500834724540901,0.00500834724540901,0,0.00417362270450751,0.00166944908180301,0.00417362270450751,0.00166944908180301,0,0,0,0,0,0,0,0,0,0,0,3.20237283398938e-15,0.00873280736667102,0.0855584505270844,NaN,NaN,0,0,0.000139381385642738,7.69419031719533e-05,0.00272694340567613,offline_diagnostic_candidate_bank_not_native_controller_candidates,avg_vs_UL=sequence_only;avg_vs_plant_with_UL_identity=model_F_aggregate
C04_high_200rpm_18A,core,normal,C04_high_200rpm_18A,1198,0,14,14,14,50316,0,1.42731681407222e-14,2e-10,1,0,1,0,0,0,0,0,0,1,0.000834724540901503,5,0.00417362270450751,0,0,0,0.000834724540901503,0,0.00417362270450751,0,0,0,1,0.000834724540901503,1,1,0.988313856427379,0,0,0,0.011686143572621,0.011686143572621,0,0.988313856427379,0.011686143572621,0.011686143572621,0,0.0108514190317195,0.000834724540901503,0.0108514190317195,0.000834724540901503,0,0,0,0,0,0,0,0,0,0,0,1.09861603164534e-14,0.0208455361595604,0.140563368048387,NaN,NaN,0,0.000834724540901503,0.000147425208681135,8.26494991652755e-05,0.00281498130217028,offline_diagnostic_candidate_bank_not_native_controller_candidates,avg_vs_UL=sequence_only;avg_vs_plant_with_UL_identity=model_F_aggregate
C05_negative_id,core,reasonable_extension,C05_negative_id,1198,0,14,14,14,50316,0,1.08142789495655e-14,2e-10,1,0,1,0,0,0,0,0,0,12,0.010016694490818,11,0.00918196994991653,0.00918196994991653,0.00918196994991653,0,0.010016694490818,0,0.00918196994991653,0.00918196994991653,0,0,12,0.010016694490818,1,1,0.989148580968281,0,0,0,0.0108514190317195,0.0108514190317195,0,0.989148580968281,0.0108514190317195,0.0108514190317195,0,0.010016694490818,0.000834724540901503,0.010016694490818,0.000834724540901503,0,0,0,0,0,0,0,0,0,0,0,7.53644380168212e-15,0.0248748561935557,0.173696096487142,NaN,NaN,0,0.010016694490818,0.000150603422370618,8.5980550918197e-05,0.00290606953255426,offline_diagnostic_candidate_bank_not_native_controller_candidates,avg_vs_UL=sequence_only;avg_vs_plant_with_UL_identity=model_F_aggregate
C06_low_bus_43p2V,core,reasonable_extension,C06_low_bus_43p2V,1198,0,14,14,14,50316,0,1.00834902247189e-14,2e-10,1,0,1,0,0,0,0,0,0,4,0.00333889816360601,21,0.0175292153589316,0.00250417362270451,0.00250417362270451,0,0.00333889816360601,0,0.0175292153589316,0.00250417362270451,0,0,4,0.00333889816360601,1,1,0.981636060100167,0,0,0,0.0183639398998331,0.0183639398998331,0,0.981636060100167,0.0183639398998331,0.0183639398998331,0,0.0141903171953255,0.00417362270450751,0.0141903171953255,0.00417362270450751,0,0,0,0,0,0,0,0,0,0,0,8.54817028683707e-15,0.0249420399976653,0.149160790763574,NaN,NaN,0,0.00333889816360601,0.000148338397328882,8.42719532554257e-05,0.00281024540901502,offline_diagnostic_candidate_bank_not_native_controller_candidates,avg_vs_UL=sequence_only;avg_vs_plant_with_UL_identity=model_F_aggregate
C07_known_false_safe,core,normal,C07_known_false_safe,29,7,14.3448275862069,14,15,1218,10,3.66205343881779e-15,2e-10,1,0,1,0,0,0,0,0,0,2,0.0689655172413793,4,0.137931034482759,0.0344827586206897,0.0689655172413793,0,0.0689655172413793,0,0.137931034482759,0.0689655172413793,0,0,2,0.0689655172413793,0.862068965517241,0.862068965517241,0.206896551724138,0,0,0,0.655172413793103,0.655172413793103,0,0.206896551724138,0.655172413793103,0.655172413793103,0,0.758620689655172,0.0344827586206897,0.758620689655172,0.0344827586206897,0,0,0,0,0,0,0,0,0,0,0,3.56522097424767e-15,0.398614957987247,0.482022579835493,0,0,0,0.0909090909090909,0.000170124137931034,9.81172413793104e-05,0.0033357724137931,offline_diagnostic_candidate_bank_not_native_controller_candidates,avg_vs_UL=sequence_only;avg_vs_plant_with_UL_identity=model_F_aggregate
C08_S2_nontrigger,core,normal,C08_S2_nontrigger,1198,0,13.7838063439065,13,15,49527,4,5.61733354972272e-15,2e-10,1,0,1,0,0,0,0,0,0,0,0,4,0.00333889816360601,0,0,0,0,0,0.00333889816360601,0,0,0,0,0,0.996661101836394,0.996661101836394,0.993322203672788,0,0,0,0.00333889816360601,0.00333889816360601,0,0.993322203672788,0.00333889816360601,0.00333889816360601,0,0.00333889816360601,0.00166944908180301,0.00333889816360601,0.00166944908180301,0,0,0,0,0,0.000834724540901503,0,0.000834724540901503,0,0,0,3.65542089972668e-15,0.015546810507932,0.270435212571664,NaN,NaN,0,0,0.000144809015025042,8.10998330550918e-05,0.00279217362270451,offline_diagnostic_candidate_bank_not_native_controller_candidates,avg_vs_UL=sequence_only;avg_vs_plant_with_UL_identity=model_F_aggregate
C09_S2_boundary,core,normal,C09_S2_boundary,1198,1,14.0008347245409,14,15,50316,1,2.09476461333771e-14,2e-10,1,0,1,0,0,0,0,0,0,1,0.000834724540901503,6,0.00500834724540901,0,0.000834724540901503,0,0.000834724540901503,0,0.00500834724540901,0.000834724540901503,0,0,1,0.000834724540901503,1,1,0.976627712854758,0,0,0,0.0233722871452421,0.0233722871452421,0,0.976627712854758,0.0233722871452421,0.0233722871452421,0,0.0225375626043406,0.000834724540901503,0.0225375626043406,0.000834724540901503,0,0,0,0,0,0,0,0,0,0,0,2.09476461333771e-14,0.0573082658407937,0.363670035770114,0,0,0,0.000835421888053467,0.000149212103505843,8.67982470784641e-05,0.00287229065108514,offline_diagnostic_candidate_bank_not_native_controller_candidates,avg_vs_UL=sequence_only;avg_vs_plant_with_UL_identity=model_F_aggregate
D01_iq_step,dynamic,normal,D01_iq_step,451,0,14,14,14,18939,1,7.1607233460989e-15,2e-10,1,0,1,0,0,0,0,0,0,2,0.00443458980044346,1,0.00221729490022173,0.00443458980044346,0.00443458980044346,0,0.00443458980044346,0,0.00221729490022173,0.00443458980044346,0,0,2,0.00443458980044346,0.997782705099778,0.997782705099778,0.964523281596452,0,0,0,0.0332594235033259,0.0332594235033259,0,0.964523281596452,0.0332594235033259,0.0332594235033259,0,0.0288248337028825,0.00443458980044346,0.0288248337028825,0.00443458980044346,0,0,0,0,0,0,0,0,0,0,0,5.52814764352491e-15,0.0320547743539462,0.177076620352278,NaN,NaN,0,0.00443458980044346,0.000149722616407982,8.61310421286031e-05,0.00291128713968958,offline_diagnostic_candidate_bank_not_native_controller_candidates,avg_vs_UL=sequence_only;avg_vs_plant_with_UL_identity=model_F_aggregate
