case_id,sample_count,total_vector_rms_A,sequence_ul_vector_rms_A,model_ul_vector_rms_A,sequence_plant_vector_rms_A,model_plant_vector_rms_A,delta_F_vector_rms_As,maximum_identity_error_A,sequence_ul_to_total_ratio,model_ul_to_total_ratio,sequence_plant_to_total_ratio,model_plant_to_total_ratio
C01_nominal_100rpm_10A,1198,0.0072728716589938,1.55813150501728e-15,0.00727287165899381,0.0072728716589938,0,48.414933230414,0,2.14238828632492e-13,1,1,0
C02_light_100rpm_4A,1198,0.00473852134671833,4.94072511651827e-16,0.00473852134671832,0.00473852134671833,0,43.2948167168969,0,1.04267233489198e-13,0.999999999999997,1,0
C03_light_200rpm_6A,1198,0.00873280736666916,1.40032098521569e-15,0.00873280736666917,0.00873280736666916,0,70.5136830563058,3.46944695195361e-18,1.60351754758768e-13,1,1,0
C04_high_200rpm_18A,1198,0.0208455361596794,3.77530397671823e-15,0.0208455361596794,0.0208455361596794,0,95.9418040199548,1.38777878078145e-17,1.8110850916949e-13,1,1,0
C05_negative_id,1198,0.0248748561940037,3.26741120637438e-15,0.0248748561940038,0.0248748561940037,0,123.436026298174,0,1.31353973703053e-13,1,1,0
C06_low_bus_43p2V,1198,0.0249420399982752,3.43974102685602e-15,0.0249420399982753,0.0249420399982752,0,120.074107392399,1.38777878078145e-17,1.37909370167552e-13,1,1,0
C07_known_false_safe,29,0.398614958008572,1.28937888721796e-15,0.398614958008572,0.398614958008572,0,1418.51405376137,5.55111512312578e-17,3.23464752466773e-15,1,1,0
C08_S2_nontrigger,1198,0.0155468105079426,1.6739143915137e-15,0.0155468105079426,0.0155468105079426,0,71.6466967649976,0,1.07669312021171e-13,1,1,0
C09_S2_boundary,1198,0.0573082658445277,9.36005094387921e-15,0.0573082658445278,0.0573082658445277,0,229.249256871566,5.55111512312578e-17,1.63328113422106e-13,1,1,0
D01_iq_step,451,0.0320547743546031,1.99150365996236e-15,0.0320547743546031,0.0320547743546031,0,138.368952856138,1.38777878078145e-17,6.21281447166505e-14,1,1,0
D02_id_step,1198,0.0148266895441472,2.17162141994408e-15,0.0148266895441472,0.0148266895441472,0,106.193399360013,0,1.46467046030604e-13,1,1,0
D03_id_iq_step,1198,0.0400467406459363,3.4245955824972e-15,0.0400467406459364,0.0400467406459363,0,171.088641251339,0,8.55149639461286e-14,1,1,0
D04_torque_ramp,1198,0.0287389240778566,6.56132620704661e-15,0.0287389240778567,0.0287389240778566,0,134.479885701055,1.38777878078145e-17,2.28307997518325e-13,1,1,0
D05_torque_step,457,0.0724649612267382,2.48218890548826e-15,0.0724649612267386,0.0724649612267382,0,268.424839021152,1.11022302462516e-16,3.42536429119398e-14,1.00000000000001,1,0
P01_Ld_minus10,1198,0.0366821539187452,4.79930801394391e-15,0.0366821539187453,0.0366821539187452,0,1126.84415081106,2.77555756156289e-17,1.30834956545215e-13,1,1,0
P02_Ld_plus10,1198,0.0345095783033623,4.76516503768345e-15,0.0345095783033623,0.0345095783033623,0,906.334101703293,2.77555756156289e-17,1.38082389642506e-13,0.999999999999999,1,0
P03_Lq_minus10,1198,0.0350420940807788,4.79881306185678e-15,0.0350420940807788,0.0350420940807788,0,1126.17118244837,1.38777878078145e-17,1.36944243423198e-13,1,1,0
P04_Lq_plus10,1198,0.038017297868716,4.80679885579366e-15,0.0380172978687161,0.038017297868716,0,919.409211330974,2.77555756156289e-17,1.26437151645886e-13,1,1,0
P05_cross_mismatch,1198,0.0551605899198229,6.5644453374985e-15,0.0551605899198231,0.0551605899198229,0,2028.01493665531,5.55111512312578e-17,1.19006075660903e-13,1,1,0
P06_controller_high_L,1198,0.0840644706117042,6.37004199302206e-15,0.0840644706117042,0.0840644706117042,0,4186.79854842713,2.77555756156289e-17,7.57756748679884e-14,1,1,0
P07_controller_low_L,1198,0.0730717537751139,6.69824179069102e-15,0.073071753775114,0.0730717537751139,0,3417.76453010445,5.55111512312578e-17,9.16666351173884e-14,1,1,0
P08_opposed_20pct,1198,0.0796480143777892,6.04021982426245e-15,0.0796480143777891,0.0796480143777892,0,3377.17681628172,0,7.58364143971283e-14,0.999999999999999,1,0
B01_500rpm_20A_48V_fast,3,0.0789785470129426,2.79859162922616e-16,0.0789785470129425,0.0789785470129426,0,171.787948234544,0,3.54348330663458e-15,0.999999999999999,1,0
B02_500rpm_negid_48V,451,0.0713869824869475,3.10720269535508e-15,0.0713869824869475,0.0713869824869475,0,277.401921858186,0,4.3526180643974e-14,1,1,0
ALL,24153,0.0462765806218979,4.7543242029645e-15,0.0462765806218979,0.0462765806218979,0,1562.32119246641,1.11022302462516e-16,1.02737154281334e-13,1,1,0
