case_id,sample_count,P0_final_selected_max_gap_A,P5_10us_final_selected_max_gap_A,P5_convergence_checks,P5_convergence_failures,P5_10us_vs_2us_candidate_max_gap_A
C01_nominal_100rpm_10A,1198,0,1.30643970127428e-13,20,0,4.20356417767585e-13
C02_light_100rpm_4A,1198,0,9.19175870752324e-14,20,0,4.06188472307643e-13
C03_light_200rpm_6A,1198,0,1.12871511630532e-12,20,0,3.77254387724549e-12
C04_high_200rpm_18A,1198,0,1.53450358228528e-12,20,0,3.77080351112805e-12
C05_negative_id,1198,0,7.58755763692809e-12,20,0,1.7660682634324e-11
C06_low_bus_43p2V,1198,0,6.73817268686642e-12,20,0,1.55963063237696e-11
C07_known_false_safe,29,0,6.59438550249408e-11,29,0,1.24584215323861e-10
C08_S2_nontrigger,1198,0,2.79521704400515e-13,20,0,4.20434291433905e-13
C09_S2_boundary,1198,0,6.57725140520908e-11,20,0,1.16313592871347e-10
D01_iq_step,451,0,1.4571673165564e-11,20,0,1.68030592009003e-11
D02_id_step,1198,0,5.48505718440596e-12,20,0,1.72949472203645e-11
D03_id_iq_step,1198,0,1.85456941820528e-11,20,0,1.68589665755001e-11
D04_torque_ramp,1198,0,2.15606494161127e-11,20,0,4.77658218443804e-11
D05_torque_step,457,0,2.99863558337407e-11,20,0,5.06308364485141e-11
P01_Ld_minus10,1198,0,8.22595825085513e-12,20,0,1.8667281418547e-11
P02_Ld_plus10,1198,0,7.40705539711933e-12,20,0,1.60380104100961e-11
P03_Lq_minus10,1198,0,7.05240423346373e-12,20,0,1.7136062974865e-11
P04_Lq_plus10,1198,0,7.14279158302273e-12,20,0,1.62747416055433e-11
P05_cross_mismatch,1198,0,3.11947953734436e-11,20,0,5.4951574160851e-11
P06_controller_high_L,1198,0,3.81607911485486e-11,20,0,6.57767617562922e-11
P07_controller_low_L,1198,0,1.95135032728322e-11,20,0,4.28266280357725e-11
P08_opposed_20pct,1198,0,2.46532842773971e-11,20,0,4.34558751636557e-11
B01_500rpm_20A_48V_fast,3,0,6.12544626200981e-11,3,0,1.24584215323861e-10
B02_500rpm_negid_48V,451,0,6.69360515316575e-11,20,0,1.16313592871347e-10
