cohort_type,cohort,predictor,causality_class,sample_count,true_violation_predicted_violation,true_safe_predicted_safe,false_safe_count,false_alarm_count,false_safe_rate,false_alarm_rate,violation_recall,safe_specificity,maximum_consecutive_false_safe
aggregate,REPRODUCTION_ALL,P0,causal_original,24153,22,23392,739,0,0.0305966132571523,0,0.0289093298291721,1,11
aggregate,REPRODUCTION_ALL,P1,causal_original,24153,278,19386,483,4006,0.019997515836542,0.165859313542831,0.365308804204993,0.82874487004104,11
aggregate,REPRODUCTION_ALL,P2a,causal_previous_period_oracle,24129,306,23007,453,363,0.0187740892701728,0.0150441377595425,0.403162055335968,0.984467265725289,11
aggregate,REPRODUCTION_ALL,P2b,offline_physical_parameter_oracle,24153,506,19205,255,4187,0.010557694696311,0.173353206640997,0.664914586070959,0.821007181942544,10
aggregate,REPRODUCTION_ALL,P2c,noncausal_future_endpoint_oracle,24153,369,23074,392,318,0.0162298679253095,0.0131660663271643,0.484888304862024,0.98640560875513,10
aggregate,REPRODUCTION_ALL,P3a,causal_previous_period_oracle,24129,538,23291,221,79,0.00915910315388122,0.00327406854821998,0.708827404479578,0.996619597774925,11
aggregate,REPRODUCTION_ALL,P3b,offline_physical_parameter_oracle,24153,566,23200,195,192,0.00807353123835548,0.00794932306545771,0.743758212877792,0.991792065663475,10
aggregate,REPRODUCTION_ALL,P3c,noncausal_future_endpoint_oracle,24153,597,23320,164,72,0.00679004678507846,0.00298099614954664,0.784494086727989,0.996922024623803,10
aggregate,REPRODUCTION_ALL,P4,offline_physical_parameter_oracle,24153,597,23320,164,72,0.00679004678507846,0.00298099614954664,0.784494086727989,0.996922024623803,10
aggregate,REPRODUCTION_ALL,P5,offline_plant_replay_oracle,24153,761,23392,0,0,0,0,1,1,0
aggregate,ENGINEERING_PRIMARY,P0,causal_original,23699,21,22960,718,0,0.0302966369889025,0,0.0284167794316644,1,11
aggregate,ENGINEERING_PRIMARY,P1,causal_original,23699,277,18954,462,4006,0.0194944934385417,0.169036668213849,0.374830852503383,0.825522648083624,11
aggregate,ENGINEERING_PRIMARY,P2a,causal_previous_period_oracle,23677,303,22577,434,363,0.0183300249186975,0.0153313342061917,0.41112618724559,0.984176111595466,11
aggregate,ENGINEERING_PRIMARY,P2b,offline_physical_parameter_oracle,23699,494,18773,245,4187,0.0103379889446812,0.17667412127094,0.668470906630582,0.8176393728223,10
aggregate,ENGINEERING_PRIMARY,P2c,noncausal_future_endpoint_oracle,23699,357,22642,382,318,0.016118823579054,0.0134182876914638,0.483085250338295,0.986149825783972,10
aggregate,ENGINEERING_PRIMARY,P3a,causal_previous_period_oracle,23677,535,22861,202,79,0.00853148625248131,0.00333657135616843,0.725915875169607,0.996556233653008,11
aggregate,ENGINEERING_PRIMARY,P3b,offline_physical_parameter_oracle,23699,554,22768,185,192,0.0078062365500654,0.00810160766277058,0.749661705006766,0.991637630662021,10
aggregate,ENGINEERING_PRIMARY,P3c,noncausal_future_endpoint_oracle,23699,585,22888,154,72,0.0064981644795139,0.00303810287353897,0.791610284167794,0.996864111498258,10
aggregate,ENGINEERING_PRIMARY,P4,offline_physical_parameter_oracle,23699,585,22888,154,72,0.0064981644795139,0.00303810287353897,0.791610284167794,0.996864111498258,10
aggregate,ENGINEERING_PRIMARY,P5,offline_plant_replay_oracle,23699,739,22960,0,0,0,0,1,1,0
range,normal,P0,causal_original,9323,16,9140,167,0,0.0179126890485895,0,0.087431693989071,1,11
range,normal,P1,causal_original,9323,16,9140,167,0,0.0179126890485895,0,0.087431693989071,1,11
range,normal,P2a,causal_previous_period_oracle,9313,80,9099,102,32,0.0109524320841834,0.00343605712444969,0.43956043956044,0.996495455043259,11
range,normal,P2b,offline_physical_parameter_oracle,9323,95,9065,88,75,0.00943902177410705,0.00804462083020487,0.519125683060109,0.991794310722101,10
range,normal,P2c,noncausal_future_endpoint_oracle,9323,98,9103,85,37,0.00911723694089885,0.00396867960956774,0.53551912568306,0.995951859956236,10
range,normal,P3a,causal_previous_period_oracle,9313,80,9099,102,32,0.0109524320841834,0.00343605712444969,0.43956043956044,0.996495455043259,11
range,normal,P3b,offline_physical_parameter_oracle,9323,95,9065,88,75,0.00943902177410705,0.00804462083020487,0.519125683060109,0.991794310722101,10
range,normal,P3c,noncausal_future_endpoint_oracle,9323,98,9103,85,37,0.00911723694089885,0.00396867960956774,0.53551912568306,0.995951859956236,10
range,normal,P4,offline_physical_parameter_oracle,9323,98,9103,85,37,0.00911723694089885,0.00396867960956774,0.53551912568306,0.995951859956236,10
range,normal,P5,offline_plant_replay_oracle,9323,183,9140,0,0,0,0,1,1,0
range,reasonable_extension,P0,causal_original,14376,5,13820,551,0,0.0383277685030607,0,0.00899280575539568,1,2
range,reasonable_extension,P1,causal_original,14376,261,9814,295,4006,0.0205203116304953,0.278658875904285,0.469424460431655,0.710130246020261,2
range,reasonable_extension,P2a,causal_previous_period_oracle,14364,223,13478,332,331,0.0231133389028126,0.0230437204121415,0.401801801801802,0.976030125280614,1
