cohort_type,cohort,registered_sample_count,common_sample_count,MSE_P0_A2,MSE_P1_A2,MSE_P2a_A2,MSE_P2b_A2,MSE_P2c_A2,MSE_P3a_A2,MSE_P3b_A2,MSE_P3c_A2,MSE_P4_A2,MSE_P5_A2,Delta_F_causal_A2,Delta_F_instant_A2,Delta_alpha_A2,Delta_joint_causal_A2,Delta_joint_instant_A2,Delta_F_alpha_interaction_excess_A2,factorial_interaction_MSE_A2,Delta_two_period_F_freezing_A2,Delta_discretization_structure_A2,Delta_structure_total_A2,Delta_remaining_oracle_gap_A2,F_shapley_contribution_A2,alpha_shapley_contribution_A2,F_share_of_explained,alpha_share_of_explained,structure_share_of_explained,material_F,material_alpha,material_structure,P0_false_safe_full_mask_rate,P0_false_safe_common_intersection_rate
aggregate,REPRODUCTION_ALL,24153,24129,0.00214245553344104,0.0980906754995097,0.00409271754270293,0.097496523448026,0.00203492929630349,0.000373024647440935,0.000375167148460637,5.55961421917201e-05,5.53773754110734e-05,0,-0.00195026200926189,-0.0953540679145849,-0.0959482199660687,0.0017694308860001,0.0017672883849804,0.193069576265634,-0.193069576265634,0.000319789773049564,5.53773754110734e-05,0.000375167148460637,0,0.00118072021823209,0.000586568166748312,0.551106055552859,0.273783122959949,0.17511082148719,0,0,0,0.0305966132571523,0.030585602387169
aggregate,ENGINEERING_PRIMARY,23699,23677,0.00208551411810743,0.0998654102012797,0.00414597376969929,0.0993395517012217,0.00207005291369783,0.000355270983460464,0.000364123811192955,5.29337822384832e-05,5.27100058388543e-05,0,-0.00206045965159186,-0.0972540375831143,-0.0977798960831723,0.00173024313464696,0.00172139030691447,0.196755323973201,-0.196755323973201,0.000311413805354101,5.27100058388543e-05,0.000364123811192955,0,0.00112362440348624,0.000597765903428228,0.538775735791189,0.286627598556222,0.174596665652588,0,0,0,0.0302966369889025,0.0302825526882629
range,normal,9323,9313,0.00143728519915284,0.00143728519915284,0.00037645039782336,0.0003231097214598,5.40353116917405e-05,0.00037645039782336,0.0003231097214598,5.40353116917405e-05,5.37781043256889e-05,0,0.00106083480132948,0.00111417547769304,0,0.00106083480132948,0.00111417547769304,1.0842021724855e-19,-1.0842021724855e-19,0.000269331617134111,5.37781043256889e-05,0.0003231097214598,0,0.00111417547769304,0,0.775194427904604,0,0.224805572095396,1,0,1,0.0179126890485895,0.0179319231182218
range,reasonable_extension,14376,14364,0.00250579787766076,0.163681974399609,0.00658997064816493,0.16353755533235,0.00337715204538001,0.000341539161825706,0.000390715583518551,5.22195979027698e-05,5.20174967043587e-05,0,-0.00408417277050417,-0.161031757454689,-0.161176176521949,0.00216425871583505,0.0021150822941422,0.32432301627078,-0.32432301627078,0.000338698086814193,5.20174967043587e-05,0.000390715583518551,0,0.00112975068070097,0.000985331613441234,0.450854672187537,0.393220707154989,0.155924620657472,0,0,0,0.0383277685030607,0.0382901698691172
range,stress_test,454,452,0.00512520307957809,0.00512520307957809,0.00130301027147994,0.000953647450422812,0.000195057860361614,0.00130301027147994,0.000953647450422812,0.000195057860361614,0.000195101511166452,0,0.00382219280809814,0.00417155562915528,0,0.00382219280809814,0.00417155562915528,-1.0842021724855e-19,1.0842021724855e-19,0.000758545939256361,0.000195101511166452,0.000953647450422812,0,0.00417155562915528,0,0.813929821781556,0,0.186070178218444,1,0,0,0.0462555066079295,0.0464601769911504
category,boundary,454,452,0.00512520307957809,0.00512520307957809,0.00130301027147994,0.000953647450422812,0.000195057860361614,0.00130301027147994,0.000953647450422812,0.000195057860361614,0.000195101511166452,0,0.00382219280809814,0.00417155562915528,0,0.00382219280809814,0.00417155562915528,-1.0842021724855e-19,1.0842021724855e-19,0.000758545939256361,0.000195101511166452,0.000953647450422812,0,0.00417155562915528,0,0.813929821781556,0,0.186070178218444,1,0,0,0.0462555066079295,0.0464601769911504
category,core,9613,9604,0.00114738629145458,0.00114738629145458,0.000303297389706523,0.000292687405647176,4.45480370499613e-05,0.000303297389706523,0.000292687405647176,4.45480370499613e-05,4.43913916230522e-05,0,0.000844088901748055,0.000854698885807401,0,0.000844088901748055,0.000854698885807401,5.42101086242752e-20,-5.42101086242752e-20,0.000248296014024124,4.43913916230522e-05,0.000292687405647176,0,0.000854698885807401,0,0.744909445208617,0,0.255090554791383,1,0,1,0.0114428378237803,0.0114535610162432
category,dynamic,4502,4497,0.00134245902892462,0.00134245902892462,0.000409816028240847,0.000446609792750274,6.37757605908306e-05,0.000409816028240847,0.000446609792750274,6.37757605908306e-05,6.33893847155889e-05,0,0.000932643000683773,0.000895849236174346,0,0.000932643000683773,0.000895849236174346,-5.42101086242752e-20,5.42101086242752e-20,0.000383220408034685,6.33893847155889e-05,0.000446609792750274,0,0.000895849236174346,0,0.667319610410732,0,0.332680389589268,1,0,1,0.0322079075966237,0.032243718034245
category,parameter,9584,9576,0.00337533224501104,0.245139597027934,0.00975442879442664,0.245117292350459,0.00504365120033613,0.0003817815649178,0.000397032727212002,5.62525291202769e-05,5.60377840468622e-05,0,-0.00637909654941559,-0.241741960105448,-0.241764264782923,0.00299355068009324,0.00297829951779904,0.48648452440617,-0.48648452440617,0.000340994943165139,5.60377840468622e-05,0.000397032727212002,0,0.00150030209763717,0.00147799742016187,0.444490197921912,0.437882055121077,0.117627746957012,0,0,0,0.0483096828046745,0.0482456140350877
phase,dynamic,12791,12767,0.00312270947470813,0.0936038406391335,0.00411977757573038,0.0921167166611401,0.00194299595290384,0.000574787661460835,0.000467102806252988,7.91113958747196e-05,7.86862781868876e-05,0,-0.000997068101022252,-0.0889940071864319,-0.0904811311644254,0.00254792181324729,0.00265560666845514,0.182130745019312,-0.182130745019313,0.000388416528066101,7.86862781868876e-05,0.000467102806252988,0,0.0020713653232243,0.000584241345230829,0.663323098098297,0.187094364673626,0.149582537228074,0,0,0,0.0340864670471425,0.0340722174355761
