cohort_type,cohort,predictor,causality_class,registered_sample_count,valid_sample_count,ed_mean_A,eq_mean_A,ed_rms_A,eq_rms_A,vector_rms_A,ed_peak_A,eq_peak_A,vector_peak_A,false_safe_d_count,false_safe_q_count,false_safe_joint_count,false_safe_joint_rate,false_alarm_joint_rate,maximum_consecutive_false_safe,predicted_joint_pass_rate,actual_joint_pass_rate,steady_vector_rms_A,dynamic_vector_rms_A,S2_near_vector_rms_A,top1_flip_vs_P0_rate,mode_flip_vs_P0_rate,diagnostic_top1_voltage_changed_rate
aggregate,REPRODUCTION_ALL,P0,causal_original,24153,24153,0.00600251693204732,-0.000603314418433255,0.0402775624081204,0.0227868356845566,0.0462765806218979,0.569829626910681,0.272063735996219,0.571712315009716,577,246,739,0.0305966132571523,0,11,0.999089140065416,0.968492526808264,0.0322643075202947,0.0558489683857265,0.333180463861946,0,0,0.0386287417712085
aggregate,REPRODUCTION_ALL,P1,causal_original,24153,24153,0.0068780732405292,-0.0300731899222405,0.211871343720356,0.230521011501754,0.31309647560083,0.708538820598227,0.861235177114906,1.07672867772599,392,241,483,0.019997515836542,0.165859313542831,11,0.822630729101975,0.968492526808264,0.321142246547933,0.305772071569189,0.333180463861946,0.0941083923322155,0.0577982031217654,0.110669482051919
aggregate,REPRODUCTION_ALL,P2a,causal_previous_period_oracle,24153,24129,0.002607648559664,-0.000269119124765228,0.0457086490606043,0.044759769254962,0.0639743506626126,0.381284514204257,0.368891604066744,0.527630896212012,407,161,453,0.0187740892701728,0.0150441377595425,11,0.972274027104314,0.968544075593684,0.0637362638169309,0.0641854934991574,0.156290685502699,0.0149877861963317,0.00770090671966215,0.0491450337432203
aggregate,REPRODUCTION_ALL,P2b,offline_physical_parameter_oracle,24153,24153,0.000810162644388944,0.0295299988692841,0.210157389536376,0.230789456274121,0.312137632309929,0.721798789173064,0.849643265841415,0.932835107893981,355,9,255,0.010557694696311,0.173353206640997,10,0.805697014863578,0.968492526808264,0.32177878323901,0.303316682622647,0.107617805270988,0.143750258767027,0.0642570281124498,0.163085331014781
aggregate,REPRODUCTION_ALL,P2c,noncausal_future_endpoint_oracle,24153,24153,0.000873022300167605,-7.79073445145817e-05,0.0312319360665578,0.0325428766299184,0.0451051288637517,0.207457327856549,0.213829380998437,0.288581654686544,287,172,392,0.0162298679253095,0.0131660663271643,10,0.971556328406409,0.968492526808264,0.0462410090213522,0.0440716027891376,0.0543178242153053,0.0160642570281124,0.0130418581542666,0.0445079286217033
aggregate,REPRODUCTION_ALL,P3a,causal_previous_period_oracle,24153,24129,0.00260566692939592,-0.000261023536040951,0.0176899121786378,0.00775188071070611,0.0193138460033453,0.268790129771214,0.0917661431034346,0.269943850411366,251,9,221,0.00915910315388122,0.00327406854821998,11,0.974429110199345,0.968544075593684,0.0120959522828621,0.0239747296431229,0.156290685502699,0.00997805655612139,0.00948122386453029,0.0392497826356974
aggregate,REPRODUCTION_ALL,P3b,offline_physical_parameter_oracle,24153,24153,0.00168571895287079,6.01233654769089e-05,0.0167888808010773,0.00964519245505818,0.0193622378884233,0.19168779046709,0.0888965852280748,0.193922473833808,222,8,195,0.00807353123835548,0.00794932306545771,10,0.968616734981162,0.968492526808264,0.0164882663996534,0.0215967308789357,0.107617805270988,0.0101850701776177,0.00948122386453029,0.0402020452945804
aggregate,REPRODUCTION_ALL,P3c,noncausal_future_endpoint_oracle,24153,24153,0.00087630664374328,-8.66862552317946e-05,0.00668665835886135,0.00330712647221378,0.00745979125119111,0.0933492054385902,0.031296285251917,0.0949396561514683,185,4,164,0.00679004678507846,0.00298099614954664,10,0.972301577443796,0.968492526808264,0.00540120762549623,0.00889753407621074,0.0543178242153053,0.0108889164907051,0.00919140479443547,0.0409058916076678
aggregate,REPRODUCTION_ALL,P4,offline_physical_parameter_oracle,24153,24153,0.000818618827865738,0.000133441809785883,0.00665069250740416,0.00334673095906758,0.00744528837187811,0.092756268720603,0.0313737444097466,0.0942986359173332,185,4,164,0.00679004678507846,0.00298099614954664,10,0.972301577443796,0.968492526808264,0.00540242027621462,0.00887391075320459,0.0538730115446481,0.0108889164907051,0.00919140479443547,0.0409058916076678
aggregate,REPRODUCTION_ALL,P5,offline_plant_replay_oracle,24153,24153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.968492526808264,0.968492526808264,0,0,0,0.0113443464579969,0.00939841841593177,0.0411129052291641
aggregate,ENGINEERING_PRIMARY,P0,causal_original,23699,23699,0.00583562905896893,-0.000622361958552043,0.0395044853360392,0.0228948114648454,0.0456593555985644,0.569829626910681,0.272063735996219,0.571712315009716,556,246,718,0.0302966369889025,0,11,0.999113886661884,0.968817249672982,0.0322643075202947,0.0551912725438855,0.353093590642577,0,0,0.0389889868770834
aggregate,ENGINEERING_PRIMARY,P1,causal_original,23699,23699,0.00672795833525749,-0.0306567896999528,0.213674179265076,0.232707799772551,0.315926534117642,0.708538820598227,0.861235177114906,1.07672867772599,371,241,462,0.0194944934385417,0.169036668213849,11,0.819275074897675,0.968817249672982,0.321142246547933,0.31104566799291,0.353093590642577,0.0959112198826955,0.0589054390480611,0.112409806320942
aggregate,ENGINEERING_PRIMARY,P2a,causal_previous_period_oracle,23699,23677,0.00252891138996066,-0.000276578345908751,0.0459025302163451,0.0451545290024911,0.0643892364428969,0.381284514204257,0.368891604066744,0.527630896212012,388,161,434,0.0183300249186975,0.0153313342061917,11,0.971871436415086,0.968872745702581,0.0637362638169309,0.0649858597734506,0.159631470708725,0.0151905143676948,0.0078062365500654,0.049706738680957
aggregate,ENGINEERING_PRIMARY,P2b,offline_physical_parameter_oracle,23699,23699,0.00073847147435309,0.0300822383636476,0.212124947430962,0.232983170293884,0.315084355312633,0.721798789173064,0.849643265841415,0.932835107893981,345,9,245,0.0103379889446812,0.17667412127094,10,0.802481117346723,0.968817249672982,0.32177878323901,0.308790638107574,0.107536113267396,0.146419680155281,0.0654457994008186,0.165829781847335
aggregate,ENGINEERING_PRIMARY,P2c,noncausal_future_endpoint_oracle,23699,23699,0.000842843343116543,-7.97402537497787e-05,0.0314778326801023,0.0328458814470513,0.0454940202473937,0.207457327856549,0.213829380998437,0.288581654686544,277,172,382,0.016118823579054,0.0134182876914638,10,0.971517785560572,0.968817249672982,0.0462410090213522,0.0447950489806102,0.0537311732830481,0.0162876070720284,0.0132495041984894,0.0449808008776742
aggregate,ENGINEERING_PRIMARY,P3a,causal_previous_period_oracle,23699,23677,0.00252689192986274,-0.000268328210320286,0.017227412545373,0.00764769510715405,0.0188486334640064,0.268790129771214,0.0917661431034346,0.269943850411366,232,9,202,0.00853148625248131,0.00333657135616843,11,0.974067660598893,0.968872745702581,0.0120959522828621,0.0234106718382995,0.159631470708725,0.0100848137052196,0.00962065909954007,0.0396219249757374
aggregate,ENGINEERING_PRIMARY,P3b,offline_physical_parameter_oracle,23699,23699,0.00163080075064162,4.78106222469086e-05,0.0164937529857062,0.00958260036896785,0.0190753798752433,0.19168779046709,0.0888965852280748,0.193922473833808,212,8,185,0.0078062365500654,0.00810160766277058,10,0.968521878560277,0.968817249672982,0.0164882663996534,0.0211803193179581,0.107536113267396,0.0102957930714376,0.00962065909954007,0.0405924300603401
aggregate,ENGINEERING_PRIMARY,P3c,noncausal_future_endpoint_oracle,23699,23699,0.000846190604620543,-8.86873414139352e-05,0.00650397867701289,0.00326677001895466,0.00727829135084461,0.0925888265851282,0.031296285251917,0.0933398900547449,175,4,154,0.0064981644795139,0.00303810287353897,10,0.972277311278957,0.968817249672982,0.00540120762549623,0.00865407654475618,0.0537311732830481,0.0110131229165788,0.00932528798683489,0.0413097599054812
aggregate,ENGINEERING_PRIMARY,P4,offline_physical_parameter_oracle,23699,23699,0.000789118113551697,0.000124070256801028,0.00646789723951587,0.00330423234434793,0.00726303284354216,0.0920978434860289,0.0313737444097466,0.0928817907916543,175,4,154,0.0064981644795139,0.00303810287353897,10,0.972277311278957,0.968817249672982,0.00540242027621462,0.00862871674164434,0.0532457501872718,0.0110131229165788,0.00932528798683489,0.0413097599054812
aggregate,ENGINEERING_PRIMARY,P5,offline_plant_replay_oracle,23699,23699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.968817249672982,0.968817249672982,0,0,0,0.0114772775222583,0.00953626735305287,0.0415207392716992
range,normal,P0,causal_original,9323,9323,0.00576003180198095,-0.000771650806004185,0.0368648858164274,0.00876787705689526,0.0378932114546004,0.569829626910681,0.109836110733889,0.571712315009716,165,16,167,0.0179126890485895,0,11,0.99828381422289,0.9803711251743,0.0115680913900357,0.0499691941236133,0.353093590642577,0,0,0.00911723694089885
range,normal,P1,causal_original,9323,9323,0.00576003180198095,-0.000771650806004185,0.0368648858164274,0.00876787705689526,0.0378932114546004,0.569829626910681,0.109836110733889,0.571712315009716,165,16,167,0.0179126890485895,0,11,0.99828381422289,0.9803711251743,0.0115680913900357,0.0499691941236133,0.353093590642577,0,0,0.00911723694089885
range,normal,P2a,causal_previous_period_oracle,9323,9313,0.0025329247071361,-0.000337408862323289,0.0181842784061632,0.00676627051413886,0.0194023297009241,0.251347831859958,0.0606072252949019,0.252499073386651,113,4,102,0.0109524320841834,0.00343605712444969,11,0.987973800064426,0.980457425104692,0.0105785030494739,0.0243401284040855,0.159631470708725,0.00225249383245736,0.00214523222138797,0.0109406843290786
range,normal,P2b,offline_physical_parameter_oracle,9323,9323,0.00162800448737615,-2.22097667456546e-05,0.0160843545490147,0.00801302801437265,0.0179698380409377,0.169685028845052,0.0603823013059248,0.170433987545043,101,2,88,0.00943902177410705,0.00804462083020487,10,0.981765526118202,0.9803711251743,0.0138747906914565,0.0207166295677522,0.107536113267396,0.00246701705459616,0.00214523222138797,0.0111552075512174
