case_id,axis,predictor,window_start_index,window_end_index,window_start_s,window_end_s,mean_speed_rpm,speed_std_rpm,electrical_frequency_Hz,electrical_cycle_count,sample_count,integer_cycle_error,reference_rate_max_A_s,residual_mean_A,residual_ac_rms_A,order1_rms_A,order6_rms_A,order12_rms_A,order6_over_order1,order12_over_order1,dominant_order_1,dominant_amplitude_1_A,dominant_order_2,dominant_amplitude_2_A,dominant_order_3,dominant_amplitude_3_A,fundamental_valid,spectrum_valid,invalid_reason
C01_nominal_100rpm_10A,d,P0,NaN,NaN,NaN,NaN,100,NaN,20,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,fewer than three coherent electrical cycles in steady trace
C01_nominal_100rpm_10A,q,P0,NaN,NaN,NaN,NaN,100,NaN,20,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,fewer than three coherent electrical cycles in steady trace
C01_nominal_100rpm_10A,d,P1,NaN,NaN,NaN,NaN,100,NaN,20,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,fewer than three coherent electrical cycles in steady trace
C01_nominal_100rpm_10A,q,P1,NaN,NaN,NaN,NaN,100,NaN,20,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,fewer than three coherent electrical cycles in steady trace
C01_nominal_100rpm_10A,d,P2a,NaN,NaN,NaN,NaN,100,NaN,20,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,fewer than three coherent electrical cycles in steady trace
C01_nominal_100rpm_10A,q,P2a,NaN,NaN,NaN,NaN,100,NaN,20,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,fewer than three coherent electrical cycles in steady trace
C01_nominal_100rpm_10A,d,P2b,NaN,NaN,NaN,NaN,100,NaN,20,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,fewer than three coherent electrical cycles in steady trace
C01_nominal_100rpm_10A,q,P2b,NaN,NaN,NaN,NaN,100,NaN,20,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,fewer than three coherent electrical cycles in steady trace
C01_nominal_100rpm_10A,d,P2c,NaN,NaN,NaN,NaN,100,NaN,20,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,fewer than three coherent electrical cycles in steady trace
C01_nominal_100rpm_10A,q,P2c,NaN,NaN,NaN,NaN,100,NaN,20,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,fewer than three coherent electrical cycles in steady trace
