cohort,window_type,axis,predictor,residual_name,explanatory_variable,variable_type,sample_count,pearson_r,spearman_r,linear_slope,best_lag_samples,best_lag_s,best_abs_cross_correlation,residual_rms_A,variable_std,categorical_effect,valid,invalid_reason
ALL,all,d,P0,e_P0_d,id,numeric,24153,0.0599669691403184,0.0551663163185131,0.00159542469921403,NaN,NaN,NaN,0.0402775624081204,1.49703118020696,NaN,1,
ALL,all,d,P0,e_P0_d,iq,numeric,24153,-0.127457899203269,-0.0871623992893058,-0.000870616982197433,NaN,NaN,NaN,0.0402775624081204,5.8308877339918,NaN,1,
ALL,all,d,P0,e_P0_d,id_ref,numeric,24153,0.0375532982004035,0.024652485833543,0.00101258752629437,NaN,NaN,NaN,0.0402775624081204,1.47710228724794,NaN,1,
ALL,all,d,P0,e_P0_d,iq_ref,numeric,24153,-0.109525655526926,-0.0945335541668769,-0.000757201881338033,NaN,NaN,NaN,0.0402775624081204,5.76101803445845,NaN,1,
ALL,all,d,P0,e_P0_d,speed_rpm,numeric,24153,0.0946988195708129,-0.0199543304421593,3.38753443931191e-05,NaN,NaN,NaN,0.0402775624081204,111.341201692754,NaN,1,
ALL,all,d,P0,e_P0_d,electrical_angle,numeric,24153,-0.184079126915215,-0.152240400186815,-0.000463591310616738,NaN,NaN,NaN,0.0402775624081204,15.8148223073527,NaN,1,
ALL,all,d,P0,e_P0_d,sin_electrical_angle,numeric,24153,0.124810057726398,0.0628165145906694,0.00702165801930033,NaN,NaN,NaN,0.0402775624081204,0.707953882924965,NaN,1,
ALL,all,d,P0,e_P0_d,cos_electrical_angle,numeric,24153,0.0322390356860448,0.021815840383472,0.00182077656377154,NaN,NaN,NaN,0.0402775624081204,0.705213221891074,NaN,1,
ALL,all,d,P0,e_P0_d,Fd_original,numeric,24153,-0.0865684205676836,-0.122660836007406,-6.68650003129832e-07,NaN,NaN,NaN,0.0402775624081204,5156.5080594659,NaN,1,
ALL,all,d,P0,e_P0_d,Fq_original,numeric,24153,-0.0768199382977951,0.0331390931347602,-9.10302284032609e-07,NaN,NaN,NaN,0.0402775624081204,3361.11505778732,NaN,1,
ALL,all,d,P0,e_P0_d,F_estimation_error_d,numeric,24153,-0.108210278117188,-0.270854705784095,-4.09087019874862e-06,-1,-0.0001,0.110672072909652,0.0402775624081204,1053.53233957038,NaN,1,
ALL,all,d,P0,e_P0_d,F_estimation_error_q,numeric,24153,-0.00280745147417571,0.125322160316308,-9.77828644816659e-08,-10,-0.001,0.011468135598009,0.0402775624081204,1143.5220960725,NaN,1,
ALL,all,d,P0,e_P0_d,F_time_increment_d,numeric,24129,0.563833573792173,0.139038186789968,0.00039098300821365,-2,-0.0002,0.948498578409705,0.0402775624081204,57.4490627964602,NaN,1,
ALL,all,d,P0,e_P0_d,F_time_increment_q,numeric,24129,-0.237923373881025,-0.21149836743227,-0.000276682626579388,0,0,0.237923373881025,0.0402775624081204,34.2566680381866,NaN,1,
ALL,all,d,P0,e_P0_d,alpha_error_d,numeric,24153,0.00348087161433792,-0.0538892284022043,1.28197811306423e-06,0,0,0.00348087161433792,0.0402775624081204,108.14400587761,NaN,1,
ALL,all,d,P0,e_P0_d,alpha_error_q,numeric,24153,0.0106288716523567,-0.0268200954514293,5.40280889297304e-06,-8,-0.0008,0.0119788224707148,0.0402775624081204,78.3542602403568,NaN,1,
ALL,all,d,P0,e_P0_d,Ld_relative_mismatch,numeric,24153,0.00594382010642551,-0.0538892284022043,0.00274904884330022,NaN,NaN,NaN,0.0402775624081204,0.0861148914523032,NaN,1,
ALL,all,d,P0,e_P0_d,Lq_relative_mismatch,numeric,24153,0.0140118080210335,-0.0268200954514293,0.00648053674961087,NaN,NaN,NaN,0.0402775624081204,0.0861148914523037,NaN,1,
ALL,all,d,P0,e_P0_d,voltage_utilization,numeric,24153,0.125122959925816,-0.0517168723560026,0.0249611723425924,NaN,NaN,NaN,0.0402775624081204,0.199648976737279,NaN,1,
ALL,all,d,P0,e_P0_d,distance_to_Jd_boundary,numeric,24153,0.034225485063916,0.0164810888124842,0.00968042825229684,NaN,NaN,NaN,0.0402775624081204,0.140815382557022,NaN,1,
ALL,all,d,P0,e_P0_d,distance_to_Jq_boundary,numeric,24153,-0.013214718709685,0.0934323400642722,-0.00258837678931473,NaN,NaN,NaN,0.0402775624081204,0.203341247816823,NaN,1,
ALL,all,d,P0,e_P0_d,reference_rate_A_s,numeric,24153,0.319434776549662,0.334519021903569,8.56380456836486e-06,NaN,NaN,NaN,0.0402775624081204,1485.62946955196,NaN,1,
ALL,all,d,P0,e_P0_d,S2_triggered,binary,24153,NaN,NaN,NaN,NaN,NaN,NaN,0.0402775624081204,NaN,0.291784384969701,1,
ALL,all,d,P0,e_P0_d,vector_mode,categorical,24153,NaN,NaN,NaN,NaN,NaN,NaN,0.0402775624081204,NaN,0.00223442144855207,1,
ALL,all,q,P0,e_P0_q,id,numeric,24153,-0.0361424292825031,-0.113940196603507,-0.000549955096757319,NaN,NaN,NaN,0.0227868356845566,1.49703118020696,NaN,1,
ALL,all,q,P0,e_P0_q,iq,numeric,24153,0.0164888269173218,0.0590051599825065,6.44163060762451e-05,NaN,NaN,NaN,0.0227868356845566,5.8308877339918,NaN,1,
