case_id,method,range_class,category,pending_command_id,selected_core_id,selected_final_id,freeze_reason_d,freeze_reason_q,estimator_state_d,estimator_state_q,sample_index,time_s,id,iq,id_ref,iq_ref,torque,torque_ref,speed_rpm,theta,Vdc,alpha_d,alpha_q,F_d,F_q,F_pred_d,F_pred_q,u_target_d,u_target_q,u_app_prev_d,u_app_prev_q,u_pending_d,u_pending_q,u_selected_final_d,u_selected_final_q,i_pred_k1_d,i_pred_k1_q,i_pred_k2_d,i_pred_k2_q,Jd_pred,Jq_pred,Jd_actual,Jq_actual,false_safe,false_alarm,mode,selected_core,selected_final,S2_triggered,voltage_utilization,gate_exc_d,gate_exc_q,gate_s2,gate_decision,alpha_update_d,alpha_update_q,reset_event,execution_time_us,timing_assertion_pass,projection_hit_d,projection_hit_q,u_hp_d,u_hp_q,y_hp_d,y_hp_q,window_energy_d,window_energy_q,regressor_rcond_d,regressor_rcond_q,reconstruction_residual_V,alpha_step_scale,native_margin_A2,native_mode_gap_A2,actual_d_violation,actual_q_violation,illegal_duration,switching_actions
C01_nominal_100rpm_10A,RLS,normal,core,0;3;2;3;0|4.3966671045284219e-05;3.9135741444541633e-06;4.2395096205232372e-06;3.9135741444541633e-06;4.3966671045284219e-05,0|0.0001,0|0.0001,startup_no_completed_command,startup_no_completed_command,startup,startup,1,0,0,0,0,0,0,0,100,0.17,48,1250,833.333333333333,0,0,0,0,0,0,0,3.39292006587698,0.0213183171000656,3.3928527835181,0,0,0.0026647896375082,0.282737731959842,0.0026647896375082,0.282737731959842,7.10110381217108e-06,0.0799406250737953,6.74469324216363e-10,0.0793261316919461,0,0,1,1,1,0,0,0,0,0,0,0,0,0,99112,1,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0.0800593749262047,0.0799335239699831,0,0,0,4
C01_nominal_100rpm_10A,RLS,normal,core,0|0.0001,0|0.0001,0|0.0001,trusted_post_s2_execution,trusted_post_s2_execution,warmup,warmup,2,0.0001,0.0026531925293631,-1.55685691921722e-05,0,0.2,-7.56602722123309e-06,0.0972,100,0.182566370614359,48,1250,833.333333333333,0,0,0,0,0,0,0.0213183171000656,3.3928527835181,0,0,0,0,0.0026531925293631,-1.55685691921722e-05,0.0026531925293631,-1.55685691921722e-05,7.03943059786818e-06,0.0400062276700572,6.28680462770668e-05,0.579122502884407,1,0,1,1,1,0,0,0,0,1,0,0,0,0,36651.7,1,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,1,0.119993772329943,0.0399991882394593,0,1,0,0
C01_nominal_100rpm_10A,RLS,normal,core,0|0.0001,0;3;2;3;0|2.3656936100981214e-05;1.8060366791238248e-05;1.6565394215561082e-05;1.8060366791238248e-05;2.3656936100981214e-05,0;3;2;3;0|2.3656936100981214e-05;1.8060366791238248e-05;1.6565394215561082e-05;1.8060366791238248e-05;2.3656936100981214e-05,not_slow_tick,not_slow_tick,active,active,3,0.0002,-2.59705472452231e-05,-0.281648951164293,0,0.4,-0.136881442930803,0.1944,100,0.195132741228718,48,1250,833.333333333333,-26.764838869007,-2813.51746413056,-26.764838869007,-2813.51746413056,0.043039841418089,14.9322032737188,0,0,0,0,0.043039841418089,14.9322032737188,-0.00270245443414593,-0.563000697577348,1.04185621449928e-06,0.399997828819496,1.08546437169076e-12,4.71402478213712e-12,1.54786104669029e-05,1.71008288433065e-06,0,0,3,3,3,0,0.526861277980376,0,0,1,0,0,0,0,85175.7,1,0,0,-0.0202524012450623,-3.2232101443422,-50.6573782567286,-2675.36923324613,0,0,0,0,0,1,0.159999999995286,3.62856041044635e-12,0,0,0,0
C01_nominal_100rpm_10A,RLS,normal,core,0;3;2;3;0|2.3656936100981214e-05;1.8060366791238248e-05;1.6565394215561082e-05;1.8060366791238248e-05;2.3656936100981214e-05,0;3;0|4.098636971191995e-05;1.8027260576160101e-05;4.098636971191995e-05,0;3;0|4.098636971191995e-05;1.8027260576160101e-05;4.098636971191995e-05,not_slow_tick,not_slow_tick,active,active,4,0.0003,-0.00792893727286745,-0.561000987439837,0,0.6,-0.272678506515565,0.2916,100,0.207699111843077,48,1250,833.333333333333,-52.9097850020392,-2800.69036059688,-52.9097850020392,-2800.69036059688,-1.6885098649898,5.51607685961895,0,0,0.0430398414180908,14.9322032737188,-1.6885098649898,5.51607685961895,-0.00783993559581003,0.403280249310375,-0.224194647219738,0.582884284885599,0.050263239841983,0.000292947703877351,0.0418346652636106,0.000613839639631379,0,0,2,2,2,0,0.180272605761601,0,0,1,1,0,0,0,33819.4,1,0,0,-0.0192397811828092,-3.06204963712509,-97.7506440095242,-2519.92798154804,0,0,0,0,0,1,0.109736760158017,0.0499702921381056,0,0,0,4
C01_nominal_100rpm_10A,RLS,normal,core,0;3;0|4.098636971191995e-05;1.8027260576160101e-05;4.098636971191995e-05,0;3;0|4.5126718668705378e-05;9.7465626625892515e-06;4.5126718668705378e-05,0;3;0|4.5126718668705378e-05;9.7465626625892515e-06;4.5126718668705378e-05,not_slow_tick,not_slow_tick,active,active,5,0.0004,-0.00393428652577604,0.401307701374294,0,0.8,0.195046910656179,0.3888,100,0.220265482457437,48,1250,833.333333333333,-47.048854426976,-2797.88971409396,-47.048854426976,-2797.88971409396,-0.87535665234706,2.99354109137247,0.0430398414180908,14.9322032737188,-1.6885098649898,5.51607685961895,-0.87535665234706,2.99354109137247,-0.219702905092198,0.58119180159981,-0.333827372078278,0.550864587804786,0.111440714348689,0.0620684536096791,0.0902550671344064,0.0678002531718154,0,0,2,2,2,0,0.0974656266258925,0,0,1,0,0,0,0,48360.5,1,0,0,0.0226100572235175,11.276645954764,20.1642541817316,9401.84530588128,0,0,0,0,0,1,0.0485592856513108,0.0493722607390101,0,0,0,2
C01_nominal_100rpm_10A,RLS,normal,core,0;3;0|4.5126718668705378e-05;9.7465626625892515e-06;4.5126718668705378e-05,0;2;0|3.9152761534043867e-05;2.169447693191227e-05;3.9152761534043867e-05,0;2;0|3.9152761534043867e-05;2.169447693191227e-05;3.9152761534043867e-05,not_slow_tick,not_slow_tick,active,active,6,0.0005,-0.204535242106612,0.575224212633473,0,1,0.280406073429763,0.486,100,0.232831853071795,48,1250,833.333333333333,-46.6932112559306,-2795.09261706978,-46.6932112559306,-2795.09261706978,4.85898119614799,4.95831578873773,-1.6885098649898,5.51607685961895,-0.875356652347062,2.99354109137247,4.85898119614799,4.95831578873773,-0.318624144775588,0.545176708540868,0.284079183617317,0.678860429228701,0.0807009825646815,0.103130623915174,0.101256416763161,0.112107047809098,0,0,2,2,2,0,0.216944769319123,0,0,1,0,0,0,0,8545.4,1,0,0,-1.62349266672515,1.76749356363096,-1924.50221864267,1442.02735381517,0,0,0,0,0,1,0.0568693760848256,0.022429641350493,0,0,0,2
C01_nominal_100rpm_10A,RLS,normal,core,0;2;0|3.9152761534043867e-05;2.169447693191227e-05;3.9152761534043867e-05,0;3;0|3.4371354843072962e-05;3.1257290313854088e-05;3.4371354843072962e-05,0;3;0|3.4371354843072962e-05;3.1257290313854088e-05;3.4371354843072962e-05,not_slow_tick,not_slow_tick,active,active,7,0.0006,-0.300424811116536,0.539615182524373,0,1.2,0.263420197989701,0.5832,100,0.245398223686154,48,1250,833.333333333333,-46.2436599871396,-2792.29961185829,-46.2436599871396,-2792.29961185829,-2.56513134826838,9.66782108942968,-0.875356652347062,2.99354109137247,4.85898119614799,4.95831578873773,-2.56513134826838,9.66782108942968,0.302323472403248,0.673578203733356,-0.0229423121290134,1.2,0.000526349685825077,0,0.000168953114257329,0.000426177237787884,0,0,2,2,2,0,0.312572903138541,0,0,1,0,0,0,0,10829.6,1,0,0,-0.769822481378296,-0.717290094384733,-833.518935286865,-620.566656874231,0,0,0,0,0,1,0.159473650314175,0.000526349685825077,0,0,0,4
C01_nominal_100rpm_10A,RLS,normal,core,0;3;0|3.4371354843072962e-05;3.1257290313854088e-05;3.4371354843072962e-05,0;3;0|4.0582033400117286e-05;1.883593319976543e-05;4.0582033400117286e-05,0;3;0|4.0582033400117286e-05;1.883593319976543e-05;4.0582033400117286e-05,not_slow_tick,not_slow_tick,active,active,8,0.0007,0.318208134344742,0.665176094328529,0,1.4,0.321751597846958,0.6804,100,0.257964594300514,48,1250,833.333333333333,-46.2113170849389,-2789.50715242047,-46.2113170849389,-2789.50715242047,-1.47244117955365,5.84488294443709,4.85898119614799,4.95831578873773,-2.56513134826838,9.66782108942969,-1.47244117955365,5.84488294443709,-0.00705441589729938,1.19187713653896,-0.19573069505,1.4,0.0383105049847561,0,0.0213690171669355,0.00067240376064055,0,0,2,2,2,0,0.188359331997654,0,0,1,1,0,0,0,19430.1,1,0,0,4.71628959876091,1.1851103728315,5996.12089895389,941.576124145397,0,0,0,0,0,1,0.121689495015244,0.0383105049847561,0,0,0,2
C01_nominal_100rpm_10A,RLS,normal,core,0;3;0|4.0582033400117286e-05;1.883593319976543e-05;4.0582033400117286e-05,0;3;0|4.3206761916181981e-05;1.3586476167636042e-05;4.3206761916181981e-05,0;3;0|4.3206761916181981e-05;1.3586476167636042e-05;4.3206761916181981e-05,not_slow_tick,not_slow_tick,active,active,9,0.0008,0.0129981965771152,1.17935593940651,0,1.6,0.573056614149151,0.7776,100,0.270530964914873,48,1250,833.333333333333,-46.1295901318752,-2786.71695339755,-46.1295901318752,-2786.71695339755,-1.00901935183374,4.22896382299118,-2.56513134826838,9.66782108942969,-1.47244117955365,5.8448829444371,-1.00901935183374,4.22896382299118,-0.175669909880279,1.38775782276984,-0.306410287872684,1.46149977934602,0.093887264514221,0.0191823111212015,0.0592940763406625,0.0274969055882722,0,0,2,2,2,0,0.13586476167636,0,0,1,0,0,0,0,3040.3,1,0,0,-2.57243179837268,5.59988488984728,-3080.19253666839,4586.37718403943,0,0,0,0,0,1,0.066112735485779,0.0747049533930195,0,0,0,2
C01_nominal_100rpm_10A,RLS,normal,core,0;3;0|4.3206761916181981e-05;1.3586476167636042e-05;4.3206761916181981e-05,0;3;0|4.4418190766613336e-05;1.116361846677333e-05;4.4418190766613336e-05,0;3;0|4.4418190766613336e-05;1.116361846677333e-05;4.4418190766613336e-05,not_slow_tick,not_slow_tick,active,active,10,0.0009,-0.146181452882832,1.37406925067337,0,1.8,0.669243872591118,0.8748,100,0.283097335529233,48,1250,833.333333333333,-46.014480341237,-2783.93039634948,-46.014480341237,-2783.93039634948,-0.785352143126844,3.48496241642666,-1.47244117955365,5.8448829444371,-1.00901935183374,4.22896382299118,-0.785352143126844,3.48496241642666,-0.276910319896172,1.44808986295435,-0.379680785821152,1.46011035802163,0.144157499121767,0.115524968724187,0.0969261887345823,0.134877495648337,0,0,2,2,2,0,0.111636184667733,0,0,1,0,0,0,0,4514,1,0,0,-1.40575454817506,1.68809940761196,-1538.89517091202,1322.12625363189,0,0,0,0,0,1,0.0158425008782327,0.0286325303975805,0,0,0,2
