case_id,method,pending_command_id,selected_core_id,selected_final_id,sample_index,time_s,Jd_pred,Jq_pred,Jd_actual,Jq_actual,false_safe,false_alarm,mode,selected_core,selected_final,S2_triggered
C01_nominal_100rpm_10A,P,0;3;2;3;0|4.3966671045284219e-05;3.9135741444541633e-06;4.2395096205232372e-06;3.9135741444541633e-06;4.3966671045284219e-05,0|0.0001,0|0.0001,1,0,7.10110381217108e-06,0.0799406250737953,6.74469324216363e-10,0.0793261316919461,0,0,1,1,1,0
C01_nominal_100rpm_10A,P,0|0.0001,0|0.0001,0|0.0001,2,0.0001,7.03943059786818e-06,0.0400062276700572,6.28680462770668e-05,0.579122502884407,1,0,1,1,1,0
C01_nominal_100rpm_10A,P,0|0.0001,0;3;0|3.7664698229114816e-05;2.4670603541770369e-05;3.7664698229114816e-05,0;3;0|3.7664698229114816e-05;2.4670603541770369e-05;3.7664698229114816e-05,3,0.0002,0.0912307766387215,0.0383630512417611,0.0985672581364319,0.375399462406167,1,0,2,2,2,0
C01_nominal_100rpm_10A,P,0;3;0|3.7664698229114816e-05;2.4670603541770369e-05;3.7664698229114816e-05,0;2;0|3.8592757992845735e-05;2.2814484014308527e-05;3.8592757992845735e-05,0;2;0|3.8592757992845735e-05;2.2814484014308527e-05;3.8592757992845735e-05,4,0.0003,0.095224100400907,0.111957475284596,0.09350562827859,0.421570367914352,1,0,2,2,2,0
C01_nominal_100rpm_10A,P,0;2;0|3.8592757992845735e-05;2.2814484014308527e-05;3.8592757992845735e-05,0;3;0|3.2599508356957946e-05;3.4800983286084119e-05;3.2599508356957946e-05,0;3;0|3.2599508356957946e-05;3.4800983286084119e-05;3.2599508356957946e-05,5,0.0004,0.00790129261773461,1.10933564796705e-31,0.0066327776029285,0.0596555140418674,0,0,2,2,2,0
C01_nominal_100rpm_10A,P,0;3;0|3.2599508356957946e-05;3.4800983286084119e-05;3.2599508356957946e-05,0;3;0|4.113081467018451e-05;1.7738370659630984e-05;4.113081467018451e-05,0;3;0|4.113081467018451e-05;1.7738370659630984e-05;4.113081467018451e-05,6,0.0005,0.079113223712396,0.0134834861259667,0.0665101041437467,0.075637890409061,0,0,2,2,2,0
C01_nominal_100rpm_10A,P,0;3;0|4.113081467018451e-05;1.7738370659630984e-05;4.113081467018451e-05,0;3;0|4.4825642690164324e-05;1.0348714619671357e-05;4.4825642690164324e-05,0;3;0|4.4825642690164324e-05;1.0348714619671357e-05;4.4825642690164324e-05,7,0.0006,0.145108927766353,0.123966241033907,0.120373003867824,0.244232709277809,1,0,2,2,2,0
C01_nominal_100rpm_10A,P,0;3;0|4.4825642690164324e-05;1.0348714619671357e-05;4.4825642690164324e-05,0;3;2;3;0|3.0021855173044716e-05;1.0288903341307344e-05;1.9378482971295887e-05;1.0288903341307344e-05;3.0021855173044716e-05,0;3;2;3;0|3.0021855173044716e-05;1.0288903341307344e-05;1.9378482971295887e-05;1.0288903341307344e-05;3.0021855173044716e-05,8,0.0007,1.22038313378243e-13,8.5465217876417e-13,0.000850735220789914,0.00839950676736208,0,0,3,3,3,0
C01_nominal_100rpm_10A,P,0;3;2;3;0|3.0021855173044716e-05;1.0288903341307344e-05;1.9378482971295887e-05;1.0288903341307344e-05;3.0021855173044716e-05,0;3;0|4.0211193113503946e-05;1.9577613772992116e-05;4.0211193113503946e-05,0;3;0|4.0211193113503946e-05;1.9577613772992116e-05;4.0211193113503946e-05,9,0.0008,0.024822453805951,0,0.015702004253941,0.00599933381826647,0,0,2,2,2,0
C01_nominal_100rpm_10A,P,0;3;0|4.0211193113503946e-05;1.9577613772992116e-05;4.0211193113503946e-05,0;3;0|4.1466369435424309e-05;1.7067261129151391e-05;4.1466369435424309e-05,0;3;0|4.1466369435424309e-05;1.7067261129151391e-05;4.1466369435424309e-05,10,0.0009,0.0800807666482446,0.00289828388196198,0.0590796055262587,0.0162302812525153,0,0,2,2,2,0
