case_id,method,freeze_reason_d,freeze_reason_q,estimator_state_d,estimator_state_q,sample_index,time_s,gate_exc_d,gate_exc_q,gate_s2,gate_decision,alpha_update_d,alpha_update_q
C01_nominal_100rpm_10A,P,startup_no_completed_command,startup_no_completed_command,startup,startup,1,0,0,0,0,0,0,0
C01_nominal_100rpm_10A,P,trusted_post_s2_execution,trusted_post_s2_execution,warmup,warmup,2,0.0001,0,0,1,0,0,0
C01_nominal_100rpm_10A,P,not_slow_tick,not_slow_tick,active,active,3,0.0002,0,0,1,0,0,0
C01_nominal_100rpm_10A,P,not_slow_tick,not_slow_tick,active,active,4,0.0003,0,0,1,0,0,0
C01_nominal_100rpm_10A,P,not_slow_tick,not_slow_tick,active,active,5,0.0004,0,0,1,0,0,0
C01_nominal_100rpm_10A,P,not_slow_tick,not_slow_tick,active,active,6,0.0005,0,0,1,1,0,0
C01_nominal_100rpm_10A,P,not_slow_tick,not_slow_tick,active,active,7,0.0006,0,0,1,0,0,0
C01_nominal_100rpm_10A,P,not_slow_tick,not_slow_tick,active,active,8,0.0007,0,0,1,1,0,0
C01_nominal_100rpm_10A,P,not_slow_tick,not_slow_tick,active,active,9,0.0008,0,0,1,1,0,0
C01_nominal_100rpm_10A,P,not_slow_tick,not_slow_tick,active,active,10,0.0009,0,0,1,0,0,0
C01_nominal_100rpm_10A,P,not_slow_tick,not_slow_tick,active,active,11,0.001,0,0,1,0,0,0
C01_nominal_100rpm_10A,P,not_slow_tick,not_slow_tick,active,active,12,0.0011,0,0,1,0,0,0
C01_nominal_100rpm_10A,P,not_slow_tick,not_slow_tick,active,active,13,0.0012,0,0,1,0,0,0
C01_nominal_100rpm_10A,P,not_slow_tick,not_slow_tick,active,active,14,0.0013,0,0,1,0,0,0
C01_nominal_100rpm_10A,P,not_slow_tick,not_slow_tick,active,active,15,0.0014,0,0,1,1,0,0
C01_nominal_100rpm_10A,P,not_slow_tick,not_slow_tick,active,active,16,0.0015,0,0,1,1,0,0
C01_nominal_100rpm_10A,P,not_slow_tick,not_slow_tick,active,active,17,0.0016,0,0,1,1,0,0
C01_nominal_100rpm_10A,P,not_slow_tick,not_slow_tick,active,active,18,0.0017,0,0,1,0,0,0
