case_id,method,freeze_reason_d,freeze_reason_q,sample_index,time_s,alpha_d,alpha_q,F_d,F_q,F_pred_d,F_pred_q,gate_exc_d,gate_exc_q,gate_s2,gate_decision,alpha_update_d,alpha_update_q,reset_event,u_hp_d,u_hp_q,y_hp_d,y_hp_q
C01_nominal_100rpm_10A,P,startup_no_completed_command,startup_no_completed_command,1,0,1250,833.333333333333,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN
C01_nominal_100rpm_10A,P,trusted_post_s2_execution,trusted_post_s2_execution,2,0.0001,1250,833.333333333333,0,0,0,0,0,0,1,0,0,0,0,NaN,NaN,NaN,NaN
C01_nominal_100rpm_10A,P,not_slow_tick,not_slow_tick,3,0.0002,1250,833.333333333333,-6.69790769152082,-704.083456487751,-6.69790769152082,-704.083456487751,0,0,1,0,0,0,0,-0.0202524012450623,-3.2232101443422,-50.6573782567286,-2675.36923324613
C01_nominal_100rpm_10A,P,not_slow_tick,not_slow_tick,4,0.0003,1250,833.333333333333,-24.7808475826962,-1226.44268305467,-24.7808475826962,-1226.44268305467,0,0,1,0,0,0,0,-0.0192397811828092,-3.06204963712509,-97.7506440095242,-2519.92798154804
C01_nominal_100rpm_10A,P,not_slow_tick,not_slow_tick,5,0.0004,1250,833.333333333333,-31.9519238074833,-1615.57772112026,-31.9519238074833,-1615.57772112026,0,0,1,0,0,0,0,-2.30343649614083,4.23430153608765,-2925.02520279484,3568.78631139293
C01_nominal_100rpm_10A,P,not_slow_tick,not_slow_tick,6,0.0005,1250,833.333333333333,-29.9808904112449,-1915.86900719899,-28.9953737131257,-2066.01465023835,0,0,1,1,0,0,0,4.82521813726201,1.95334427979593,6016.007062236,1633.90648430493
C01_nominal_100rpm_10A,P,not_slow_tick,not_slow_tick,7,0.0006,1250,833.333333333333,-13.8263096133074,-2151.11685719859,-13.8263096133074,-2151.11685719859,0,0,1,0,0,0,0,-3.11362994857521,6.93594424394111,-3851.00730274057,5747.65547719472
C01_nominal_100rpm_10A,P,not_slow_tick,not_slow_tick,8,0.0007,1250,833.333333333333,24.91122465187,-2329.39242088682,44.2799917844587,-2418.53020273093,0,0,1,1,0,0,0,-1.43698732527394,1.62920648437187,-1656.09345532935,1319.99814434176
C01_nominal_100rpm_10A,P,not_slow_tick,not_slow_tick,9,0.0008,1250,833.333333333333,61.4481295916528,-2461.82461351251,79.7165820615442,-2528.04070982535,0,0,1,1,0,0,0,-0.723640484506715,-0.605790917888467,-742.978673318054,-535.77297004296
C01_nominal_100rpm_10A,P,not_slow_tick,not_slow_tick,10,0.0009,1250,833.333333333333,98.3789228370442,-2569.97301010488,98.3789228370442,-2569.97301010488,0,0,1,0,0,0,0,2.81885357954069,6.55241199368817,3713.26714537954,5397.41132512656
C01_nominal_100rpm_10A,P,not_slow_tick,not_slow_tick,11,0.001,1250,833.333333333333,141.959142030269,-2661.53397907129,141.959142030269,-2661.53397907129,0,0,1,0,0,0,0,-1.40285854434159,1.84517461709439,-1513.0059458361,1438.15135966169
C01_nominal_100rpm_10A,P,not_slow_tick,not_slow_tick,12,0.0011,1250,833.333333333333,187.290085269459,-2730.98879064816,187.290085269459,-2730.98879064816,0,0,1,0,0,0,0,-1.09208924412861,1.0253385090649,-1088.51872269119,756.949788261754
C01_nominal_100rpm_10A,P,not_slow_tick,not_slow_tick,13,0.0012,1250,833.333333333333,228.275833380111,-2782.93198070718,228.275833380111,-2782.93198070718,0,0,1,0,0,0,0,-0.678743737420927,-0.402505695174284,-559.11382634128,-427.483342703101
C01_nominal_100rpm_10A,P,not_slow_tick,not_slow_tick,14,0.0013,1250,833.333333333333,252.481584115972,-2829.54825761648,252.481584115972,-2829.54825761648,0,0,1,0,0,0,0,5.105728451494,0.291553416569214,6632.18308821154,126.398586332204
C01_nominal_100rpm_10A,P,not_slow_tick,not_slow_tick,15,0.0014,1250,833.333333333333,278.990723688978,-2876.00290530811,292.245293475481,-2899.23022915393,0,0,1,1,0,0,0,-1.96830399730882,5.86190576379819,-2191.11025820396,4730.51573336011
C01_nominal_100rpm_10A,P,not_slow_tick,not_slow_tick,16,0.0015,1250,833.333333333333,321.455353973345,-2915.49287037814,342.687669115529,-2935.23785291316,0,0,1,1,0,0,0,-1.01872232986177,1.39640642522956,-931.782113519227,999.320450031531
C01_nominal_100rpm_10A,P,not_slow_tick,not_slow_tick,17,0.0016,1250,833.333333333333,365.460958604163,-2947.55503872737,387.463760919572,-2963.58612290198,0,0,1,1,0,0,0,-0.91006315159347,1.43158141416425,-766.842079337586,1027.56068008263
C01_nominal_100rpm_10A,P,not_slow_tick,not_slow_tick,18,0.0017,1250,833.333333333333,410.252072963039,-2974.36467723446,410.252072963039,-2974.36467723446,0,0,1,0,0,0,0,-0.780781834045405,1.30442417613568,-578.987014044317,919.368060113197
C01_nominal_100rpm_10A,P,not_slow_tick,not_slow_tick,19,0.0018,1250,833.333333333333,455.000064038111,-2997.47311119227,455.000064038111,-2997.47311119227,0,0,1,0,0,0,0,-0.66629381908103,1.23288744786533,-413.338819101995,856.73214492678
C01_nominal_100rpm_10A,P,window_incomplete,window_incomplete,20,0.0019,1250,833.333333333333,499.155541953152,-3018.05325032677,499.155541953152,-3018.05325032677,0,0,1,0,0,0,0,-0.555369689058074,1.14378345961361,-255.401037797567,778.667032533739
C01_nominal_100rpm_10A,P,not_slow_tick,not_slow_tick,21,0.002,1250,833.333333333333,542.420357245682,-3037.01154275212,542.420357245682,-3037.01154275212,0,0,1,0,0,0,0,-0.458465805729061,1.12839190733202,-117.6485512588,761.176916806616
C01_nominal_100rpm_10A,P,not_slow_tick,not_slow_tick,22,0.0021,1250,833.333333333333,584.653564985075,-3055.04829827297,584.653564985075,-3055.04829827297,0,1,1,0,0,0,0,-0.362394058237193,1.08102239008584,16.8509136368884,716.151265166277
C01_nominal_100rpm_10A,P,not_slow_tick,not_slow_tick,23,0.0022,1250,833.333333333333,625.681001094537,-3072.66252571596,625.681001094537,-3072.66252571596,0,1,1,0,0,0,0,-0.271352938651828,1.03933919770431,142.699753955614,675.120996794705
C01_nominal_100rpm_10A,P,not_slow_tick,not_slow_tick,24,0.0023,1250,833.333333333333,665.385553001092,-3090.22787086745,665.385553001092,-3090.22787086745,0,1,1,0,0,0,0,-0.184915186780753,1.0026813787573,260.601501763876,637.574801040323
C01_nominal_100rpm_10A,P,not_slow_tick,not_slow_tick,25,0.0024,1250,833.333333333333,703.690113102737,-3108.02370344576,722.84239315356,-3116.92161973491,0,1,1,1,0,0,0,-0.102682633433482,0.970219119060554,371.204274638548,602.859638573416
C01_nominal_100rpm_10A,P,not_slow_tick,not_slow_tick,26,0.0025,1250,833.333333333333,740.545116415454,-3126.25841836234,758.972618071812,-3135.37577582064,0,1,1,1,0,0,0,-0.0243197378601067,0.941454027518684,475.061032082381,570.597749819188
C01_nominal_100rpm_10A,P,not_slow_tick,not_slow_tick,27,0.0026,1250,833.333333333333,775.963126883098,-3145.10399753873,793.67213211692,-3154.52678712692,0,1,1,1,0,0,0,0.0498024268054577,0.936269602754169,571.992383029764,557.330496146431
C01_nominal_100rpm_10A,P,not_slow_tick,not_slow_tick,28,0.0027,1250,833.333333333333,809.915760787668,-3164.67214173368,809.915760787668,-3164.67214173368,0,1,1,0,0,0,0,0.122000591266777,0.892958403675922,664.831800134846,511.733491600514
C01_nominal_100rpm_10A,P,not_slow_tick,not_slow_tick,29,0.0028,1250,833.333333333333,842.344564907744,-3185.02867112961,842.344564907744,-3185.02867112961,0,1,1,0,0,0,0,0.190464412084948,0.873472429424562,751.259472133258,485.52950454862
C01_nominal_100rpm_10A,P,not_slow_tick,not_slow_tick,30,0.0029,1250,833.333333333333,873.206483003436,-3206.21876238543,888.637442051282,-3216.81380801333,0,1,1,1,0,0,0,0.256027346795531,0.834044767424224,832.407389691545,442.28509088656
C01_nominal_100rpm_10A,P,not_slow_tick,not_slow_tick,31,0.003,1250,833.333333333333,902.516845636887,-3228.29371658966,902.516845636887,-3228.29371658966,0,1,1,0,0,0,0,0.319196363325055,0.841526728470968,909.172911477984,437.664603293528
C01_nominal_100rpm_10A,P,not_slow_tick,not_slow_tick,32,0.0031,1250,833.333333333333,933.207278940839,-3241.91815710536,948.552495592815,-3248.73037736322,1,1,1,1,0,0,0,-4.42413436473015,-2.37149136481162,-5012.41025840742,-2215.52934539798
C01_nominal_100rpm_10A,P,not_slow_tick,not_slow_tick,33,0.0032,1250,833.333333333333,971.087483073788,-3252.60331399248,971.087483073788,-3252.60331399248,1,1,1,0,0,0,0,0.813805778659197,4.17699189701183,1565.60407674294,3251.73042582304
C01_nominal_100rpm_10A,P,not_slow_tick,not_slow_tick,34,0.0033,1250,833.333333333333,1010.88591117341,-3270.78265381468,1010.88591117341,-3270.78265381468,1,1,1,0,0,0,0,0.713590262295493,0.751188335020443,1456.19278361701,369.720137718485
C01_nominal_100rpm_10A,P,not_slow_tick,not_slow_tick,35,0.0034,1250,833.333333333333,1045.07354587076,-3291.71080814643,1045.07354587076,-3291.71080814643,1,1,1,0,0,0,0,0.749527217234049,0.640493835209585,1489.39122126883,262.5723603153
C01_nominal_100rpm_10A,P,not_slow_tick,not_slow_tick,36,0.0035,1250,833.333333333333,1078.27723599711,-3305.44842341276,1078.27723599711,-3305.44842341276,1,1,1,0,0,0,0,-4.19283237021043,-2.28510767516027,-4687.44310943035,-2154.42797137484
C01_nominal_100rpm_10A,P,not_slow_tick,not_slow_tick,37,0.0036,1250,833.333333333333,1116.459891829,-3317.34834860568,1116.459891829,-3317.34834860568,1,1,1,0,0,0,0,1.37055952069408,3.92626955164655,2289.5804618347,3028.16078417717
C01_nominal_100rpm_10A,P,not_slow_tick,not_slow_tick,38,0.0037,1250,833.333333333333,1154.14642677039,-3337.63408011982,1154.14642677039,-3337.63408011982,1,1,1,0,0,0,0,1.09469993252344,0.657083870165686,1950.32518722942,272.854915432321
C01_nominal_100rpm_10A,P,not_slow_tick,not_slow_tick,39,0.0038,1250,833.333333333333,1189.13327743846,-3351.84026254243,1189.13327743846,-3351.84026254243,1,1,1,0,0,0,0,-3.93602181097923,-2.27016144836567,-4341.63109777193,-2148.94959291583
