sample_index,i_sample_time,pending_command_id,pending_execution_interval,selected_core_id,selected_final_id,selected_execution_interval,u_app_previous_d,u_app_previous_q,prediction_k1_time,prediction_k2_time,J_evaluation_time,decision_gate_latched,timing_assertion_pass
1,0,0;3;2;3;0|4.3966671045284219e-05;3.9135741444541633e-06;4.2395096205232372e-06;3.9135741444541633e-06;4.3966671045284219e-05,"[0,0.0001]",0|0.0001,0|0.0001,"[0.0001,0.0002]",0,3.39292006587698,0.0001,0.0002,0.0002,0,1
2,0.0001,0|0.0001,"[0.0001,0.0002]",0;3;0|3.8439744229029196e-05;2.3120511541941607e-05;3.8439744229029196e-05,0;3;0|3.8439744229029196e-05;2.3120511541941607e-05;3.8439744229029196e-05,"[0.0002,0.0003]",0.0213183171000656,3.3928527835181,0.0002,0.0003,0.0003,0,1
3,0.0002,0;3;0|3.8439744229029196e-05;2.3120511541941607e-05;3.8439744229029196e-05,"[0.0002,0.0003]",0;2;0|4.0235640897447726e-05;1.952871820510455e-05;4.0235640897447726e-05,0;2;0|4.0235640897447726e-05;1.952871820510455e-05;4.0235640897447726e-05,"[0.0003,0.0004]",0,0,0.0003,0.0004,0.0004,0,1
4,0.0003,0;2;0|4.0235640897447726e-05;1.952871820510455e-05;4.0235640897447726e-05,"[0.0003,0.0004]",0;3;0|3.5168943583526011e-05;2.966211283294798e-05;3.5168943583526011e-05,0;3;0|3.5168943583526011e-05;2.966211283294798e-05;3.5168943583526011e-05,"[0.0004,0.0005]",-2.34266528014746,7.01788173958522,0.0004,0.0005,0.0005,0,1
5,0.0004,0;3;0|3.5168943583526011e-05;2.966211283294798e-05;3.5168943583526011e-05,"[0.0004,0.0005]",0;3;0|4.2854851731178269e-05;1.4290296537643465e-05;4.2854851731178269e-05,0;3;0|4.2854851731178269e-05;1.4290296537643465e-05;4.2854851731178269e-05,"[0.0005,0.0006]",4.20257790147039,4.62500945500368,0.0005,0.0006,0.0006,0,1
6,0.0005,0;3;0|4.2854851731178269e-05;1.4290296537643465e-05;4.2854851731178269e-05,"[0.0005,0.0006]",0;3;0|4.4940787430983821e-05;1.0118425138032368e-05;4.4940787430983821e-05,0;3;0|4.4940787430983821e-05;1.0118425138032368e-05;4.4940787430983821e-05,"[0.0006,0.0007]",-2.77827959069428,9.07617069792653,0.0006,0.0007,0.0007,0,1
7,0.0006,0;3;0|4.4940787430983821e-05;1.0118425138032368e-05;4.4940787430983821e-05,"[0.0006,0.0007]",0;2;0|3.7586026658704401e-05;2.4827946682591203e-05;3.7586026658704401e-05,0;2;0|3.7586026658704401e-05;2.4827946682591203e-05;3.7586026658704401e-05,"[0.0007,0.0008]",-1.28343771761226,4.38909504553157,0.0007,0.0008,0.0008,0,1
8,0.0007,0;2;0|3.7586026658704401e-05;2.4827946682591203e-05;3.7586026658704401e-05,"[0.0007,0.0008]",0;3;0|3.3499172891182272e-05;3.300165421763546e-05;3.3499172891182272e-05,0;3;0|3.3499172891182272e-05;3.300165421763546e-05;3.3499172891182272e-05,"[0.0008,0.0009]",-0.869630387533248,3.1189283066356,0.0008,0.0009,0.0009,0,1
9,0.0008,0;3;0|3.3499172891182272e-05;3.300165421763546e-05;3.3499172891182272e-05,"[0.0008,0.0009]",0;3;0|4.0531914349669352e-05;1.8936171300661298e-05;4.0531914349669352e-05,0;3;0|4.0531914349669352e-05;1.8936171300661298e-05;4.0531914349669352e-05,"[0.0009,0.001]",5.63166105222812,5.60415132626812,0.0009,0.001,0.001,0,1
10,0.0009,0;3;0|4.0531914349669352e-05;1.8936171300661298e-05;4.0531914349669352e-05,"[0.0009,0.001]",0;3;0|4.0462596572733379e-05;1.9074806854533243e-05;4.0462596572733379e-05,0;3;0|4.0462596572733379e-05;1.9074806854533243e-05;4.0462596572733379e-05,"[0.001,0.0011]",-2.57980287719657,10.2405760218596,0.001,0.0011,0.0011,0,1
11,0.001,0;3;0|4.0462596572733379e-05;1.9074806854533243e-05;4.0462596572733379e-05,"[0.001,0.0011]",0;3;0|4.3468472204123904e-05;1.3063055591752202e-05;4.3468472204123904e-05,0;3;0|4.3468472204123904e-05;1.3063055591752202e-05;4.3468472204123904e-05,"[0.0011,0.0012]",-1.4063222174945,5.89412459775388,0.0011,0.0012,0.0012,0,1
12,0.0011,0;3;0|4.3468472204123904e-05;1.3063055591752202e-05;4.3468472204123904e-05,"[0.0011,0.0012]",0;3;0|4.3742993735079856e-05;1.2514012529840288e-05;4.3742993735079856e-05,0;3;0|4.3742993735079856e-05;1.2514012529840288e-05;4.3742993735079856e-05,"[0.0012,0.0013]",-1.34189828213185,5.95460917860081,0.0012,0.0013,0.0013,0,1
13,0.0012,0;3;0|4.3742993735079856e-05;1.2514012529840288e-05;4.3742993735079856e-05,"[0.0012,0.0013]",0;3;2;3;0|3.1478556876737729e-05;1.0538590681878772e-05;1.5965704882767e-05;1.0538590681878772e-05;3.1478556876737729e-05,0;3;2;3;0|3.1478556876737729e-05;1.0538590681878772e-05;1.5965704882767e-05;1.0538590681878772e-05;3.1478556876737729e-05,"[0.0013,0.0014]",-0.867660345017658,4.08913828041415,0.0013,0.0014,0.0014,0,1
14,0.0013,0;3;2;3;0|3.1478556876737729e-05;1.0538590681878772e-05;1.5965704882767e-05;1.0538590681878772e-05;3.1478556876737729e-05,"[0.0013,0.0014]",0;3;0|4.0550116621106641e-05;1.8899766757786719e-05;4.0550116621106641e-05,0;3;0|4.0550116621106641e-05;1.8899766757786719e-05;4.0550116621106641e-05,"[0.0014,0.0015]",-0.781902182429585,3.9274064164337,0.0014,0.0015,0.0015,0,1
15,0.0014,0;3;0|4.0550116621106641e-05;1.8899766757786719e-05;4.0550116621106641e-05,"[0.0014,0.0015]",0;3;0|4.0514493623345919e-05;1.8971012753308163e-05;4.0514493623345919e-05,0;3;0|4.0514493623345919e-05;1.8971012753308163e-05;4.0514493623345919e-05,"[0.0015,0.0016]",2.64891378571766,9.95163354907145,0.0015,0.0016,0.0016,0,1
16,0.0015,0;3;0|4.0514493623345919e-05;1.8971012753308163e-05;4.0514493623345919e-05,"[0.0015,0.0016]",0;3;0|4.0426656893959247e-05;1.9146686212081508e-05;4.0426656893959247e-05,0;3;0|4.0426656893959247e-05;1.9146686212081508e-05;4.0426656893959247e-05,"[0.0016,0.0017]",-1.03146521812765,5.95931881124545,0.0016,0.0017,0.0017,0,1
17,0.0016,0;3;0|4.0426656893959247e-05;1.9146686212081508e-05;4.0426656893959247e-05,"[0.0016,0.0017]",0;3;0|4.0395409128939679e-05;1.9209181742120643e-05;4.0395409128939679e-05,0;3;0|4.0395409128939679e-05;1.9209181742120643e-05;4.0395409128939679e-05,"[0.0017,0.0018]",-0.960104430372475,5.99432150882183,0.0017,0.0018,0.0018,0,1
18,0.0017,0;3;0|4.0395409128939679e-05;1.9209181742120643e-05;4.0395409128939679e-05,"[0.0017,0.0018]",0;3;0|4.0379774552858037e-05;1.9240450894283938e-05;4.0379774552858037e-05,0;3;0|4.0379774552858037e-05;1.9240450894283938e-05;4.0379774552858037e-05,"[0.0018,0.0019]",-0.892896185759188,6.06152828210982,0.0018,0.0019,0.0019,0,1
19,0.0018,0;3;0|4.0379774552858037e-05;1.9240450894283938e-05;4.0379774552858037e-05,"[0.0018,0.0019]",0;3;0|4.0384824612398863e-05;1.9230350775202274e-05;4.0384824612398863e-05,0;3;0|4.0384824612398863e-05;1.9230350775202274e-05;4.0384824612398863e-05,"[0.0019,0.002]",-0.819321878210928,6.09208998388495,0.0019,0.002,0.002,0,1
20,0.0019,0;3;0|4.0384824612398863e-05;1.9230350775202274e-05;4.0384824612398863e-05,"[0.0019,0.002]",0;3;0|4.0396700547679292e-05;1.9206598904641424e-05;4.0396700547679292e-05,0;3;0|4.0396700547679292e-05;1.9206598904641424e-05;4.0396700547679292e-05,"[0.002,0.0021]",-0.743912732689854,6.11183743150568,0.002,0.0021,0.0021,0,1
21,0.002,0;3;0|4.0396700547679292e-05;1.9206598904641424e-05;4.0396700547679292e-05,"[0.002,0.0021]",0;3;0|4.0388729930426798e-05;1.9222540139146409e-05;4.0388729930426798e-05,0;3;0|4.0388729930426798e-05;1.9222540139146409e-05;4.0388729930426798e-05,"[0.0021,0.0022]",-0.666702239778712,6.11748989009838,0.0021,0.0022,0.0022,0,1
22,0.0021,0;3;0|4.0388729930426798e-05;1.9222540139146409e-05;4.0388729930426798e-05,"[0.0021,0.0022]",0;3;0|4.0364612212241089e-05;1.9270775575517834e-05;4.0364612212241089e-05,0;3;0|4.0364612212241089e-05;1.9270775575517834e-05;4.0364612212241089e-05,"[0.0022,0.0023]",-0.589048530042039,6.11781907522556,0.0022,0.0023,0.0023,0,1
23,0.0022,0;3;0|4.0364612212241089e-05;1.9270775575517834e-05;4.0364612212241089e-05,"[0.0022,0.0023]",0;3;0|4.033737165622018e-05;1.9325256687559644e-05;4.033737165622018e-05,0;3;0|4.033737165622018e-05;1.9325256687559644e-05;4.033737165622018e-05,"[0.0023,0.0024]",-0.512550320247701,6.12982150049135,0.0023,0.0024,0.0024,0,1
24,0.0023,0;3;0|4.033737165622018e-05;1.9325256687559644e-05;4.033737165622018e-05,"[0.0023,0.0024]",0;3;0|4.0306834946335625e-05;1.9386330107328747e-05;4.0306834946335625e-05,0;3;0|4.0306834946335625e-05;1.9386330107328747e-05;4.0306834946335625e-05,"[0.0024,0.0025]",-0.436575032804098,6.15117485266077,0.0024,0.0025,0.0025,0,1
25,0.0024,0;3;0|4.0306834946335625e-05;1.9386330107328747e-05;4.0306834946335625e-05,"[0.0024,0.0025]",0;3;0|4.0272833528903536e-05;1.9454332942192933e-05;4.0272833528903536e-05,0;3;0|4.0272833528903536e-05;1.9454332942192933e-05;4.0272833528903536e-05,"[0.0025,0.0026]",-0.360260287802845,6.17357954832812,0.0025,0.0026,0.0026,0,1
26,0.0025,0;3;0|4.0272833528903536e-05;1.9454332942192933e-05;4.0272833528903536e-05,"[0.0025,0.0026]",0;3;0|4.023528978852328e-05;1.9529420422953438e-05;4.023528978852328e-05,0;3;0|4.023528978852328e-05;1.9529420422953438e-05;4.023528978852328e-05,"[0.0026,0.0027]",-0.283547666262913,6.19714222299777,0.0026,0.0027,0.0027,0,1
27,0.0026,0;3;0|4.023528978852328e-05;1.9529420422953438e-05;4.023528978852328e-05,"[0.0026,0.0027]",0;3;0|4.0194186105244146e-05;1.9611627789511717e-05;4.0194186105244146e-05,0;3;0|4.0194186105244146e-05;1.9611627789511717e-05;4.0194186105244146e-05,"[0.0027,0.0028]",-0.206373121711921,6.22196494089655,0.0027,0.0028,0.0028,0,1
28,0.0027,0;3;0|4.0194186105244146e-05;1.9611627789511717e-05;4.0194186105244146e-05,"[0.0027,0.0028]",0;3;0|4.0149548584803104e-05;1.9700902830393793e-05;4.0149548584803104e-05,0;3;0|4.0149548584803104e-05;1.9700902830393793e-05;4.0149548584803104e-05,"[0.0028,0.0029]",-0.128666068097121,6.24808987431383,0.0028,0.0029,0.0029,0,1
