case_id,method,repeat,category,range_class,trace_rows,completed,illegal,ed_mean_A,eq_mean_A,ed_rms_A,eq_rms_A,vector_rms_A,vector_peak_A,false_safe_rate,false_alarm_rate,max_false_safe_run,actual_violation_rate,id_tracking_rms_A,iq_tracking_rms_A,id_steady_error_A,iq_steady_error_A,torque_mean_Nm,torque_ripple_Nm,phase_thd,thd_valid,thd_cycles,switching_actions,equivalent_switching_Hz,voltage_utilization_mean,S2_count,illegal_duration_count,alpha_d_mean,alpha_q_mean,alpha_d_variance,alpha_q_variance,alpha_d_min,alpha_d_max,alpha_q_min,alpha_q_max,alpha_boundary_hit_rate,alpha_update_rate,gate_freeze_rate,F_d_rms,F_q_rms,decision_gate_rate,s2_gate_rate,reset_count,reacquire_count,execution_mean_us,execution_p95_us,execution_p99_us,execution_max_us,estimator_finite,timing_pass
C01_nominal_100rpm_10A,B0,1,core,normal,1200,1,0,-0.00107387275772715,0.000456664635102588,0.00624485049216988,0.00372780156374247,0.0072728716589938,0.0382871477817572,0.00250417362270451,0,1,0.00250417362270451,0.229979620259571,0.262974441115294,0.0290663950085589,-0.188215425115872,4.76643380631396,0.0776243508119623,NaN,0,1,2644,22051.3419292422,0.161056746146604,0,0,1250,833.333333333337,0,1.24309930462384e-23,1250,1250,833.333333333333,833.333333333333,0,0,1,1816.15714297965,3594.65549212341,0,0,0,0,2202.4362627197,3682.9,4325.84,11507.5,1,1
C02_light_100rpm_4A,B0,1,core,normal,1200,1,0,-0.000391052480847212,0.000189394897728897,0.00382560108531136,0.00279613320308061,0.00473852134671833,0.0170203513637584,0.000834724540901503,0,1,0.000834724540901503,0.20660746576449,0.256994710366897,-0.00521008583144068,-0.201842758075959,1.84603626309362,0.07330525989986,NaN,0,1,2238,18665.2432820136,0.132153030793591,0,0,1250,833.333333333337,0,1.24309930462384e-23,1250,1250,833.333333333333,833.333333333333,0,0,1,693.901343819102,3116.68330274244,0,0,0,0,2133.09047178538,3575.4,4256.76,7038.8,1,1
C03_light_200rpm_6A,B0,1,core,normal,1200,1,0,-0.00125847561600895,0.000273008373675524,0.00767954379902009,0.00415770748637795,0.00873280736666916,0.0377966906914169,0.00500834724540901,0,1,0.00500834724540901,0.240583923794592,0.227380409411313,0.000203267967317453,-0.156914380009114,2.83971387110885,0.0736758665559048,NaN,0,2,3496,29157.1450017514,0.261440357639801,0,0,1250,833.333333333337,0,1.24309930462384e-23,1250,1250,833.333333333333,833.333333333333,0,0,1,2148.93921500776,6103.32416723122,0,0,0,0,2229.44680851064,3511.6,4144.3,7301.8,1,1
C04_high_200rpm_18A,B0,1,core,normal,1200,1,0,-0.00394418242407675,0.000822923137571015,0.0196518671310138,0.006952732991384,0.0208455361596794,0.109852703235488,0.011686143572621,0,1,0.011686143572621,0.198566873272919,0.26764709848928,-0.0390852821767236,-0.104063356359668,8.70222583193883,0.0702412070475203,NaN,0,2,3846,32076.1955597071,0.348345699727142,0,0,1250,833.333333333337,0,1.24309930462384e-23,1250,1250,833.333333333333,833.333333333333,0,0,1,6642.10421473555,7042.64722796224,0,0,0,0,2259.38926919519,3600.8,4249.32000000001,6076.3,1,1
C05_negative_id,B0,1,core,reasonable_extension,1200,1,0,-0.00524616927512146,0.000137138394553614,0.0233170412889298,0.00866452861976396,0.0248748561940037,0.121581232372933,0.0108514190317195,0,2,0.0108514190317195,0.191660672342329,0.231604322786241,-0.0369393421829873,-0.0757243973519437,7.6867535125136,0.0781048957717905,1.70885433677433,1,3,4052,33794.2653166753,0.433646576684668,0,0,1250,833.333333333337,0,1.24309930462384e-23,1250,1250,833.333333333333,833.333333333333,0,0,1,8727.50730270171,8651.43799277506,0,0,0,0,1894.01424606846,2887.8,3361.78,4302.5,1,1
C06_low_bus_43p2V,B0,1,core,reasonable_extension,1200,1,0,-0.0049737180040817,0.000725977036575408,0.0234582260003312,0.00847449067454464,0.0249420399982752,0.117507737074201,0.0183639398998331,0,2,0.0183639398998331,0.184549045180702,0.218754737037062,-0.0340515819554295,-0.0582622425365684,7.26513822025492,0.0659391738234271,1.68684509406335,1,3,4124,34394.755717169,0.513405785377457,0,0,1250,833.333333333337,0,1.24309930462384e-23,1250,1250,833.333333333333,833.333333333333,0,0,1,8292.82935653018,9631.92224165437,0,0,0,0,2469.00175763182,4004.5,4727.88,5271.1,1,1
C07_known_false_safe,B0,1,core,normal,31,0,1,-0.375539385893903,0.0366711589252315,0.396326739220973,0.0426497423983574,0.398614958008572,0.462553764437988,0.655172413793103,0,11,0.793103448275862,0.408357552797316,1.47474112127068,NaN,NaN,NaN,NaN,NaN,0,0,116,38640.9060626249,0.920333502727615,7,1,1250,833.333333333333,0,1.20199682761612e-25,1250,1250,833.333333333333,833.333333333333,0,0,1,8471.36467064969,14835.8841668082,0,0,0,0,6240.10714285714,25988.63,29669.2,30468.4,1,1
C08_S2_nontrigger,B0,1,core,normal,1200,1,0,-0.00107387275772714,0.000456664635102522,0.0139503262862044,0.00686234023335399,0.0155468105079426,0.260219839699773,0.00333889816360601,0,1,0.00667779632721202,0.232714267744217,0.565638649706787,0.0290663950085546,-0.188215425115878,4.76643380631395,0.07762435081196,NaN,0,1,2638,22001.3010625344,0.162545868267198,0,0,1250,833.333333333337,0,1.24309930462384e-23,1250,1250,833.333333333333,833.333333333333,0,0,1,1840.20453555986,3609.09163471479,0,0,0,0,1831.80573543016,2913.8,3348.34,4262,1,1
C09_S2_boundary,B0,1,core,normal,1200,1,0,-0.0110141558321583,0.000939425442630039,0.0558334910821698,0.0129173761919506,0.0573082658445281,0.321279376491921,0.0233722871452421,0,1,0.0233722871452421,0.143959996782522,0.215642751403874,-0.0292302840739133,-0.0421157790985324,9.70361927320657,0.0429463364606767,0.938815769208904,1,5,4388,36596.5538523127,0.826557294768719,1,0,1250,833.333333333337,0,1.24309930462384e-23,1250,1250,833.333333333333,833.333333333333,0,0,1,18506.2630936182,15678.4959908285,0,0,0,0,2185.59833487512,3453.4,3959.28,4885.9,1,1
D01_iq_step,B0,1,dynamic,normal,453,0,1,-0.00795800565078913,0.00112168361273959,0.03079356560563,0.0089030823997246,0.0320547743546031,0.135973441592376,0.0332594235033259,0,1,0.0354767184035477,0.191820873022484,0.739439250243945,NaN,NaN,NaN,NaN,NaN,0,0,1538,34025.0431396841,0.416325009217873,0,1,1250,833.333333333332,0,8.29010658156021e-25,1250,1250,833.333333333333,833.333333333333,0,0,1,4915.66423627582,9152.34298392601,0,0,0,0,3048.65637254902,4024.86,4925.802,179564.9,1,1
