method,case_id,repeat_count,max_numeric_delta,sequence_equal,pass
B0,C01_nominal_100rpm_10A,1,0,1,1
B0,C02_light_100rpm_4A,1,0,1,1
B0,C03_light_200rpm_6A,1,0,1,1
B0,C04_high_200rpm_18A,1,0,1,1
B0,C05_negative_id,1,0,1,1
B0,C06_low_bus_43p2V,1,0,1,1
B0,C07_known_false_safe,1,0,1,1
B0,C08_S2_nontrigger,1,0,1,1
B0,C09_S2_boundary,1,0,1,1
B0,D01_iq_step,1,0,1,1
B0,D02_id_step,1,0,1,1
B0,D03_id_iq_step,1,0,1,1
B0,D04_torque_ramp,1,0,1,1
B0,D05_torque_step,1,0,1,1
B0,P01_Ld_minus10,1,0,1,1
B0,P02_Ld_plus10,1,0,1,1
B0,P03_Lq_minus10,1,0,1,1
B0,P04_Lq_plus10,1,0,1,1
B0,P05_cross_mismatch,1,0,1,1
B0,P06_controller_high_L,1,0,1,1
B0,P07_controller_low_L,1,0,1,1
B0,P08_opposed_20pct,1,0,1,1
B0,B01_500rpm_20A_48V_fast,1,0,1,1
B0,B02_500rpm_negid_48V,1,0,1,1
