case_id,expected_rows,observed_rows,expected_effective_samples,observed_effective_samples,current_max_gap_A,prediction_max_gap_A,discrete_equal,pass
C01_nominal_100rpm_10A,1200,1200,1198,1198,0,0,1,1
C02_light_100rpm_4A,1200,1200,1198,1198,0,0,1,1
C03_light_200rpm_6A,1200,1200,1198,1198,0,0,1,1
C04_high_200rpm_18A,1200,1200,1198,1198,0,0,1,1
C05_negative_id,1200,1200,1198,1198,0,0,1,1
C06_low_bus_43p2V,1200,1200,1198,1198,0,0,1,1
C07_known_false_safe,31,31,29,29,3.40838468559923e-14,3.29181126801359e-14,1,1
C08_S2_nontrigger,1200,1200,1198,1198,0,0,1,1
C09_S2_boundary,1200,1200,1198,1198,1.04579678250616e-11,1.03632658010611e-11,1,1
D01_iq_step,453,453,451,451,0,0,1,1
D02_id_step,1200,1200,1198,1198,0,0,1,1
D03_id_iq_step,1200,1200,1198,1198,0,0,1,1
D04_torque_ramp,1200,1200,1198,1198,0,0,1,1
D05_torque_step,459,459,457,457,0,0,1,1
P01_Ld_minus10,1200,1200,1198,1198,0,0,1,1
P02_Ld_plus10,1200,1200,1198,1198,0,0,1,1
P03_Lq_minus10,1200,1200,1198,1198,0,0,1,1
P04_Lq_plus10,1200,1200,1198,1198,0,0,1,1
P05_cross_mismatch,1200,1200,1198,1198,0,0,1,1
P06_controller_high_L,1200,1200,1198,1198,0,0,1,1
P07_controller_low_L,1200,1200,1198,1198,0,0,1,1
P08_opposed_20pct,1200,1200,1198,1198,0,0,1,1
B01_500rpm_20A_48V_fast,5,5,3,3,5.20417042793042e-16,8.88178419700125e-16,1,1
B02_500rpm_negid_48V,453,453,451,451,6.21191986738268e-12,1.12336806523672e-11,1,1
AGGREGATE,NaN,NaN,NaN,24153,NaN,NaN,1,1
