method,cohort,sample_count,false_safe_rate,false_alarm_rate,vector_rms_A,phase_thd,torque_ripple_Nm,id_tracking_rms_A,iq_tracking_rms_A,alpha_boundary_hit_rate,alpha_update_rate,gate_freeze_rate,decision_gate_rate,s2_gate_rate,execution_mean_us,termination_semantics_pass,estimator_finite,S2_count,illegal_duration_count
B0,core,2425,0.0206185567010309,0,0.0595716904648436,0.938815769208904,0.0602853436363195,0.260765723279803,0.65111943792995,0,0,1,0,0,928.377442129999,1,1,8,1
B1,core,2401,0.0337359433569346,0,0.148317760072613,0.942349410250294,0.0601776605358203,0.297915717189434,1.18709268076999,0,0.0327777777777778,0.967222222222222,0.621428571428571,0.951825396825397,1191.97562221929,1,1,1,1
B2,core,2400,0.02375,0,0.153617663219973,0.936566343543886,0.0601264956910905,0.202870585289639,1.23428042679392,0,0.0230555555555556,0.976944444444445,0.601666666666667,0.943888888888889,18802.4715130024,1,1,4,1
P,core,2400,0.01875,0,0.145407540528306,0.936555299113469,0.0602009735302111,0.208869630001713,1.23139141730404,0,0.0227777777777778,0.977222222222222,0.653333333333333,0.943888888888889,1152.87988488025,1,1,4,1
RLS,core,1249,0.381905524419536,0,0.353824541330986,NaN,0.0782274028031882,0.698352129861192,1.56123250174035,0.166666666666667,0.503055555555556,0.496944444444444,0.620039682539683,0.94515873015873,2436.28205345824,1,1,7,2
B0,dynamic,1198,0.0267111853088481,0,0.0400467406459363,1.5502472958904,0.0773921959593337,0.24773634583108,0.467898447426163,0,0,1,0,0,410.5111933395,1,1,0,0
B1,dynamic,1198,0.0692821368948247,0,0.0956334449078119,1.58836184087767,0.0766882757052438,0.261843775744342,0.474849634212625,0,0.0491666666666667,0.950833333333333,0.601666666666667,0.999166666666667,773.943385753931,1,1,1,0
B2,dynamic,1198,0.0500834724540902,0,0.0990535848099516,1.58446558758681,0.0759691621386449,0.250666927130391,0.482266123264505,0,0.04,0.96,0.6125,0.999166666666667,1536.79481961147,1,1,0,0
P,dynamic,1198,0.0492487479131886,0,0.0940185357494791,1.57425695312066,0.0754199392385226,0.249015100766354,0.480779481837104,0,0.0391666666666667,0.960833333333333,0.6175,0.999166666666667,663.748288621647,1,1,0,0
RLS,dynamic,1198,0.513355592654424,0,0.412271416607097,1.7619553438846,0.070743428369162,0.39364332437853,0.587113191092769,0.000833333333333333,0.818333333333333,0.181666666666667,0.588333333333333,0.999166666666667,797.9467160037,1,1,1,0
B0,parameter,1198,0.0734557595993322,0,0.0796480143777892,1.51299840195296,0.0896393422186348,0.190829417990465,0.243004373974842,0,0,1,0,0,421.858186864015,1,1,0,0
B1,parameter,1198,0.22787979966611,0.000834724540901503,0.248467839857436,1.50270377564907,0.0831273403376801,0.276586809326381,0.341497648366771,0,0.0491666666666667,0.950833333333333,0.748333333333333,0.999166666666667,669.432654949121,1,1,0,0
B2,parameter,1198,0.0692821368948247,0,0.139408358989303,1.35814260874289,0.0777621205848706,0.192672871357359,0.283228065860483,0,0.0375,0.9625,0.748333333333333,0.999166666666667,721.935337650324,1,1,1,0
P,parameter,1198,0.0634390651085142,0,0.13758457825951,1.34152243142038,0.0767427958115756,0.194598237132222,0.278621136058687,0,0.0391666666666667,0.960833333333333,0.739166666666667,0.999166666666667,773.422849213691,1,1,0,0
RLS,parameter,1198,0.930717863105175,0.000834724540901503,0.970882512018472,3.14494413082953,0.0651138400731171,0.924321352270494,0.546673947179578,0.108333333333333,0.9375,0.0625,0.540833333333333,0.999166666666667,565.520999074931,1,1,0,0
