method,case_id,repeat_count,max_numeric_delta,sequence_equal,pass
B0,C01_nominal_100rpm_10A,3,0,1,1
B1,C01_nominal_100rpm_10A,3,0,1,1
B2,C01_nominal_100rpm_10A,3,0,1,1
P,C01_nominal_100rpm_10A,3,0,1,1
RLS,C01_nominal_100rpm_10A,3,0,1,1
B0,C07_known_false_safe,3,0,1,1
B1,C07_known_false_safe,3,0,1,1
B2,C07_known_false_safe,3,0,1,1
P,C07_known_false_safe,3,0,1,1
RLS,C07_known_false_safe,3,0,1,1
B0,C09_S2_boundary,3,0,1,1
B1,C09_S2_boundary,3,0,1,1
B2,C09_S2_boundary,3,0,1,1
P,C09_S2_boundary,3,0,1,1
RLS,C09_S2_boundary,3,0,1,1
B0,D03_id_iq_step,3,0,1,1
B1,D03_id_iq_step,3,0,1,1
B2,D03_id_iq_step,3,0,1,1
P,D03_id_iq_step,3,0,1,1
RLS,D03_id_iq_step,3,0,1,1
B0,P08_opposed_20pct,3,0,1,1
B1,P08_opposed_20pct,3,0,1,1
B2,P08_opposed_20pct,3,0,1,1
P,P08_opposed_20pct,3,0,1,1
RLS,P08_opposed_20pct,3,0,1,1
