case_id,case_category,range_class,speed_rpm,id_ref_A,iq_ref_A,dc_bus_V,profile_type,plant_Ld_scale,plant_Lq_scale,completed,illegal_event,trace_rows,effective_samples,truncated,in_primary_conclusion,steady_spectrum_eligible,S2_cycles,P0_false_safe_count,P0_false_safe_rate,P5_replay_max_gap_A,notes
C01_nominal_100rpm_10A,core,normal,100,0,10,48,ramp,1,1,1,0,1200,1198,0,1,0,0,3,0.00250417362270451,0,""
C02_light_100rpm_4A,core,normal,100,0,4,48,ramp,1,1,1,0,1200,1198,0,1,0,0,1,0.000834724540901503,0,""
C03_light_200rpm_6A,core,normal,200,0,6,48,ramp,1,1,1,0,1200,1198,0,1,0,0,6,0.00500834724540901,0,""
C04_high_200rpm_18A,core,normal,200,0,18,48,ramp,1,1,1,0,1200,1198,0,1,0,0,14,0.011686143572621,0,""
C05_negative_id,core,reasonable_extension,300,-4,15,48,ramp,1,1,1,0,1200,1198,0,1,1,0,13,0.0108514190317195,0,""
C06_low_bus_43p2V,core,reasonable_extension,300,0,15,43.2,ramp,1,1,1,0,1200,1198,0,1,1,0,22,0.0183639398998331,0,""
C07_known_false_safe,core,normal,500,0,20,48,ramp,1,1,0,1,31,29,1,1,0,7,19,0.655172413793103,0,"pre-termination dynamic evidence only; excluded from steady spectrum"
C08_S2_nontrigger,core,normal,100,0,10,48,constant,1,1,1,0,1200,1198,0,1,0,0,4,0.00333889816360601,0,""
C09_S2_boundary,core,normal,500,0,20,48,ramp,1,1,1,0,1200,1198,0,1,1,1,28,0.0233722871452421,0,""
D01_iq_step,dynamic,normal,300,0,18,48,two_step,1,1,0,1,453,451,1,1,0,0,15,0.0332594235033259,0,"pre-termination dynamic evidence only; excluded from steady spectrum"
D02_id_step,dynamic,reasonable_extension,300,-5,0,48,two_step,1,1,1,0,1200,1198,0,1,1,0,21,0.0175292153589316,0,""
D03_id_iq_step,dynamic,reasonable_extension,300,-4,16,48,two_step,1,1,1,0,1200,1198,0,1,1,0,32,0.0267111853088481,0,""
D04_torque_ramp,dynamic,normal,400,0,18,48,ramp,1,1,1,0,1200,1198,0,1,1,0,47,0.0392320534223706,0,"; torque reference is mapped from dq current, not an independent mechanical outer loop"
D05_torque_step,dynamic,normal,400,0,18,48,two_step,1,1,0,1,459,457,1,1,0,0,30,0.0656455142231947,0,"pre-termination dynamic evidence only; excluded from steady spectrum; torque reference is mapped from dq current, not an independent mechanical outer loop"
P01_Ld_minus10,parameter,reasonable_extension,300,0,18,48,ramp,0.9,1,1,0,1200,1198,0,1,1,0,65,0.0542570951585977,0,""
P02_Ld_plus10,parameter,reasonable_extension,300,0,18,48,ramp,1.1,1,1,0,1200,1198,0,1,1,0,11,0.00918196994991653,0,""
P03_Lq_minus10,parameter,reasonable_extension,300,0,18,48,ramp,1,0.9,1,0,1200,1198,0,1,1,0,81,0.0676126878130217,0,""
P04_Lq_plus10,parameter,reasonable_extension,300,0,18,48,ramp,1,1.1,1,0,1200,1198,0,1,1,0,32,0.0267111853088481,0,""
P05_cross_mismatch,parameter,reasonable_extension,400,0,18,48,ramp,0.9,1.1,1,0,1200,1198,0,1,1,0,75,0.0626043405676127,0,""
P06_controller_high_L,parameter,reasonable_extension,400,0,18,48,ramp,0.8,0.8,1,0,1200,1198,0,1,1,0,91,0.0759599332220367,0,""
P07_controller_low_L,parameter,reasonable_extension,400,0,18,48,ramp,1.2,1.2,1,0,1200,1198,0,1,1,0,20,0.01669449081803,0,""
P08_opposed_20pct,parameter,reasonable_extension,400,-3,17,48,ramp,1.2,0.8,1,0,1200,1198,0,1,1,0,88,0.0734557595993322,0,""
B01_500rpm_20A_48V_fast,boundary,stress_test,500,0,20,48,ramp,1,1,0,1,5,3,1,0,0,2,0,0,0,"pre-termination dynamic evidence only; excluded from steady spectrum"
B02_500rpm_negid_48V,boundary,stress_test,500,-4,19.5959179422654,48,two_step,1,1,0,1,453,451,1,0,0,0,21,0.0465631929046563,0,"pre-termination dynamic evidence only; excluded from steady spectrum"
