case_id,sample_count,P0_recompute_max_gap_A,P5_replay_max_gap_A,previous_F_closure_max_A,acausal_F_closure_max_A,P2c_first_step_max_gap_A,P4_identity_max_gap_A,command_carry_pass
C01_nominal_100rpm_10A,1198,0,0,1.11022302462516e-16,1.11022302462516e-16,1.11022302462516e-16,1.73977419746633e-15,1
C02_light_100rpm_4A,1198,0,0,8.32667268468867e-17,8.32667268468867e-17,8.32667268468867e-17,8.05870547190613e-16,1
C03_light_200rpm_6A,1198,0,0,1.11022302462516e-16,1.11022302462516e-16,1.11022302462516e-16,8.52616836606846e-16,1
C04_high_200rpm_18A,1198,0,0,1.11022302462516e-16,1.11022302462516e-16,1.11022302462516e-16,3.46730632043111e-15,1
C05_negative_id,1198,0,0,1.11022302462516e-16,1.11022302462516e-16,1.11022302462516e-16,1.7992749206674e-15,1
C06_low_bus_43p2V,1198,0,0,1.66533453693773e-16,1.66533453693773e-16,1.66533453693773e-16,1.7081469736646e-15,1
C07_known_false_safe,29,0,0,2.23186855464772e-16,2.23186855464772e-16,2.23186855464772e-16,2.39309127482332e-15,1
C08_S2_nontrigger,1198,0,0,1.11022302462516e-16,1.11022302462516e-16,1.11022302462516e-16,1.68338266861249e-15,1
C09_S2_boundary,1198,0,0,2.46330733588707e-16,2.46330733588707e-16,2.46330733588707e-16,3.51300591515616e-15,1
D01_iq_step,451,0,0,1.11023149492232e-16,1.11023149492232e-16,1.11023149492232e-16,1.67661478274198e-15,1
D02_id_step,1198,0,0,1.11022302462516e-16,1.11022302462516e-16,1.11022302462516e-16,8.5405326643085e-16,1
D03_id_iq_step,1198,0,0,1.14439169963056e-16,1.14439169963056e-16,1.14439169963056e-16,3.41672693040259e-15,1
D04_torque_ramp,1198,0,0,1.38777878078145e-16,1.38777878078145e-16,1.38777878078145e-16,3.38791539270031e-15,1
D05_torque_step,457,0,0,1.68830575361606e-16,1.68830575361606e-16,1.68830575361606e-16,2.13722437968109e-15,1
P01_Ld_minus10,1198,0,0,1.66533453693773e-16,1.66533453693773e-16,1.66533453693773e-16,3.45036891842938e-15,1
P02_Ld_plus10,1198,0,0,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,3.48450211724486e-15,1
P03_Lq_minus10,1198,0,0,1.66533453693773e-16,1.66533453693773e-16,1.66533453693773e-16,3.49026558032501e-15,1
P04_Lq_plus10,1198,0,0,1.66533453693773e-16,1.66533453693773e-16,1.66533453693773e-16,3.54074059798995e-15,1
P05_cross_mismatch,1198,0,0,1.66533453693773e-16,1.66533453693773e-16,1.66533453693773e-16,3.49026535804212e-15,1
P06_controller_high_L,1198,0,0,1.66533453693773e-16,1.66533453693773e-16,1.66533453693773e-16,3.5007058288121e-15,1
P07_controller_low_L,1198,0,0,2.4980018054066e-16,2.4980018054066e-16,2.4980018054066e-16,3.50154051501328e-15,1
P08_opposed_20pct,1198,0,0,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,3.53424482442237e-15,1
B01_500rpm_20A_48V_fast,3,0,0,7.85046229341888e-17,1.14439169963056e-16,1.14439169963056e-16,1.25716596383006e-16,1
B02_500rpm_negid_48V,451,0,0,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,1.69660580098467e-15,1
