project_id,relative_path,absolute_path,bytes,sha256
model_error,audit\path_resolution.csv,C:\Users\catkin\Documents\baseline_zhou\zhou_icf_mpc_dual_timescale_prototype_iter01\reference\upstream_snapshots\zhou_icf_mpc_model_error_decomposition_iter01\audit\path_resolution.csv,2579,7ec51b798ccb013f4e081e19f9e8d39ee428447707f82b40f62f9e78562ff2dd
model_error,CHANGELOG.md,C:\Users\catkin\Documents\baseline_zhou\zhou_icf_mpc_dual_timescale_prototype_iter01\reference\upstream_snapshots\zhou_icf_mpc_model_error_decomposition_iter01\CHANGELOG.md,835,0afe8e8747a05f17e76dee35fee0c765f66c385935deacd02a060c48f6456a65
model_error,config\acceptance_thresholds.m,C:\Users\catkin\Documents\baseline_zhou\zhou_icf_mpc_dual_timescale_prototype_iter01\reference\upstream_snapshots\zhou_icf_mpc_model_error_decomposition_iter01\config\acceptance_thresholds.m,731,1c576aed717bac5a88c7829ae2c25f50a3d9c0c0ff044615cb555653aea525b0
model_error,config\base_parameters.m,C:\Users\catkin\Documents\baseline_zhou\zhou_icf_mpc_dual_timescale_prototype_iter01\reference\upstream_snapshots\zhou_icf_mpc_model_error_decomposition_iter01\config\base_parameters.m,496,aa0e79005afca47ae82a8e9e3b546ebb872e81652ef4c9f5f3513a5ab689b3e6
model_error,config\control_scenario.m,C:\Users\catkin\Documents\baseline_zhou\zhou_icf_mpc_dual_timescale_prototype_iter01\reference\upstream_snapshots\zhou_icf_mpc_model_error_decomposition_iter01\config\control_scenario.m,800,0bb5c3ceb301307b4e1b3f08a9720011a8ab693e29fa5199c89b7ba064e54dea
model_error,config\implementation_assumptions.m,C:\Users\catkin\Documents\baseline_zhou\zhou_icf_mpc_dual_timescale_prototype_iter01\reference\upstream_snapshots\zhou_icf_mpc_model_error_decomposition_iter01\config\implementation_assumptions.m,2059,c163dba1171db50c114b1d9df3615239c9ec93e6a20807f45cff9a4553d58e06
model_error,config\ipmsm_parameters.m,C:\Users\catkin\Documents\baseline_zhou\zhou_icf_mpc_dual_timescale_prototype_iter01\reference\upstream_snapshots\zhou_icf_mpc_model_error_decomposition_iter01\config\ipmsm_parameters.m,624,d000a18f90cc24f419e3056634991c9abb84090f70f1137db48f64d92896d89f
model_error,config\model_error_parameters.m,C:\Users\catkin\Documents\baseline_zhou\zhou_icf_mpc_dual_timescale_prototype_iter01\reference\upstream_snapshots\zhou_icf_mpc_model_error_decomposition_iter01\config\model_error_parameters.m,676,7f33f9508b95357c2c88805d0b88cd2c956344ced3c01a78c853c603bd872690
model_error,config\sequence_parameters.m,C:\Users\catkin\Documents\baseline_zhou\zhou_icf_mpc_dual_timescale_prototype_iter01\reference\upstream_snapshots\zhou_icf_mpc_model_error_decomposition_iter01\config\sequence_parameters.m,571,53980a84e7641bf22806ebcddd1eb1e00593a69f872e508ea9d73454a26f10a6
model_error,config\sequence_scenarios.m,C:\Users\catkin\Documents\baseline_zhou\zhou_icf_mpc_dual_timescale_prototype_iter01\reference\upstream_snapshots\zhou_icf_mpc_model_error_decomposition_iter01\config\sequence_scenarios.m,3409,77724727d04080f506848cd7f1b45f3c92e092dd4e9229082ded6d0904ae15cb
model_error,config\six_condition_matrix.m,C:\Users\catkin\Documents\baseline_zhou\zhou_icf_mpc_dual_timescale_prototype_iter01\reference\upstream_snapshots\zhou_icf_mpc_model_error_decomposition_iter01\config\six_condition_matrix.m,401,8c1d0d5a4c8d91a6614a5a9575639f45a0da7c0b23cfec104f0b542778486af2
model_error,COPIED_FILE_PROVENANCE.csv,C:\Users\catkin\Documents\baseline_zhou\zhou_icf_mpc_dual_timescale_prototype_iter01\reference\upstream_snapshots\zhou_icf_mpc_model_error_decomposition_iter01\COPIED_FILE_PROVENANCE.csv,79433,7fabb5c4f70b4d4ed18f2c1ffe04731bd993e3151ce1eb0e04f449fc9aa33e8b
model_error,docs\BASELINE_REPRODUCTION_REPORT.md,C:\Users\catkin\Documents\baseline_zhou\zhou_icf_mpc_dual_timescale_prototype_iter01\reference\upstream_snapshots\zhou_icf_mpc_model_error_decomposition_iter01\docs\BASELINE_REPRODUCTION_REPORT.md,1370,9746d4b97891dd5c7d896d9eadbf45c6bc181eac48962b5e25689e4378f21d99
model_error,docs\DECISION_AND_NEXT_STEP.md,C:\Users\catkin\Documents\baseline_zhou\zhou_icf_mpc_dual_timescale_prototype_iter01\reference\upstream_snapshots\zhou_icf_mpc_model_error_decomposition_iter01\docs\DECISION_AND_NEXT_STEP.md,1887,90bb37e08c8f0dbf17b7e8b0387d379c2135ad908201cdaea4d849cdb428bede
model_error,docs\DUPLICATE_WORK_CHECK.md,C:\Users\catkin\Documents\baseline_zhou\zhou_icf_mpc_dual_timescale_prototype_iter01\reference\upstream_snapshots\zhou_icf_mpc_model_error_decomposition_iter01\docs\DUPLICATE_WORK_CHECK.md,1495,97ebe498fd4eb5b54ce01e824d0493c6cac6270972b6b2a25dd7a22ab87f0ae6
model_error,docs\EXPERIMENT_PROTOCOL.md,C:\Users\catkin\Documents\baseline_zhou\zhou_icf_mpc_dual_timescale_prototype_iter01\reference\upstream_snapshots\zhou_icf_mpc_model_error_decomposition_iter01\docs\EXPERIMENT_PROTOCOL.md,5316,de53b272e1dbeda95d970bf7cc3eea268b107fb2dae19336a52901cf99c8e042
model_error,docs\KNOWN_LIMITATIONS.md,C:\Users\catkin\Documents\baseline_zhou\zhou_icf_mpc_dual_timescale_prototype_iter01\reference\upstream_snapshots\zhou_icf_mpc_model_error_decomposition_iter01\docs\KNOWN_LIMITATIONS.md,1905,cff8693bf12dd6f7a69fff088dcdcbef81d053ad96993cab752642acd235f0ea
model_error,docs\METRIC_DEFINITIONS.md,C:\Users\catkin\Documents\baseline_zhou\zhou_icf_mpc_dual_timescale_prototype_iter01\reference\upstream_snapshots\zhou_icf_mpc_model_error_decomposition_iter01\docs\METRIC_DEFINITIONS.md,2252,c886b52bcc9aba6b0458fd32b96d51414917c922a0719a67a9af7e668d6fe99c
model_error,docs\MODEL_ERROR_DECOMPOSITION_REPORT.md,C:\Users\catkin\Documents\baseline_zhou\zhou_icf_mpc_dual_timescale_prototype_iter01\reference\upstream_snapshots\zhou_icf_mpc_model_error_decomposition_iter01\docs\MODEL_ERROR_DECOMPOSITION_REPORT.md,16658,e0fcbb958972a637790ed542756e04fb013175f8ba19b759f7498b5f183d7536
model_error,docs\ORACLE_PREDICTOR_DEFINITION.md,C:\Users\catkin\Documents\baseline_zhou\zhou_icf_mpc_dual_timescale_prototype_iter01\reference\upstream_snapshots\zhou_icf_mpc_model_error_decomposition_iter01\docs\ORACLE_PREDICTOR_DEFINITION.md,3063,6efaede2f1ff1b5428f93609db6bab328170b4e33751ff758658c4607890a21f
model_error,docs\ORIGINAL_PREDICTOR_DEFINITION.md,C:\Users\catkin\Documents\baseline_zhou\zhou_icf_mpc_dual_timescale_prototype_iter01\reference\upstream_snapshots\zhou_icf_mpc_model_error_decomposition_iter01\docs\ORIGINAL_PREDICTOR_DEFINITION.md,2209,1f7bf54ce51d24055b561c08c082b76e2d3f7a37cf2359a6f197193988a87733
model_error,docs\PATH_CONFLICT_REPORT.md,C:\Users\catkin\Documents\baseline_zhou\zhou_icf_mpc_dual_timescale_prototype_iter01\reference\upstream_snapshots\zhou_icf_mpc_model_error_decomposition_iter01\docs\PATH_CONFLICT_REPORT.md,775,9b25d80e697e61e6b1939d2521cf5d73c795d1fa0dc42b65ba371662cb2dbcd1
model_error,docs\PREVIOUS_WORK_INVENTORY.md,C:\Users\catkin\Documents\baseline_zhou\zhou_icf_mpc_dual_timescale_prototype_iter01\reference\upstream_snapshots\zhou_icf_mpc_model_error_decomposition_iter01\docs\PREVIOUS_WORK_INVENTORY.md,2985,80bd643e09f0d28416c38f2323331dba1807cb151cd09908d40c4c5fd3941f09
model_error,docs\PROJECT_SCOPE.md,C:\Users\catkin\Documents\baseline_zhou\zhou_icf_mpc_dual_timescale_prototype_iter01\reference\upstream_snapshots\zhou_icf_mpc_model_error_decomposition_iter01\docs\PROJECT_SCOPE.md,1273,147ae801a9ec47f347d70abf57af03e0817a20b178978aed19e25378eb7bfa0b
model_error,docs\PROTOTYPE_GATE_REPORT.md,C:\Users\catkin\Documents\baseline_zhou\zhou_icf_mpc_dual_timescale_prototype_iter01\reference\upstream_snapshots\zhou_icf_mpc_model_error_decomposition_iter01\docs\PROTOTYPE_GATE_REPORT.md,389,a453fe5f2184da9914b30b9eb58418d53b214474e23922184bfce154fa33fe49
model_error,docs\SOURCE_PROJECT_INVENTORY.md,C:\Users\catkin\Documents\baseline_zhou\zhou_icf_mpc_dual_timescale_prototype_iter01\reference\upstream_snapshots\zhou_icf_mpc_model_error_decomposition_iter01\docs\SOURCE_PROJECT_INVENTORY.md,2335,e3f502d0785d60ca34e69d666b00501d8e632bf40131fe8e2b1920cd336c0e03
model_error,docs\TIMING_ALIGNMENT_AUDIT.md,C:\Users\catkin\Documents\baseline_zhou\zhou_icf_mpc_dual_timescale_prototype_iter01\reference\upstream_snapshots\zhou_icf_mpc_model_error_decomposition_iter01\docs\TIMING_ALIGNMENT_AUDIT.md,4184,bb2290d10afef3bec8ee9927d3d16cea887b19b47040e39ba0c6a4b2dd86a771
model_error,FROZEN_UPSTREAM_VALIDATION.csv,C:\Users\catkin\Documents\baseline_zhou\zhou_icf_mpc_dual_timescale_prototype_iter01\reference\upstream_snapshots\zhou_icf_mpc_model_error_decomposition_iter01\FROZEN_UPSTREAM_VALIDATION.csv,472121,4d7f1128a3dfe13c41e90ff691bb2b78f4cd9ab92d8d8f9cb784f493979aae1f
model_error,HANDOFF.md,C:\Users\catkin\Documents\baseline_zhou\zhou_icf_mpc_dual_timescale_prototype_iter01\reference\upstream_snapshots\zhou_icf_mpc_model_error_decomposition_iter01\HANDOFF.md,11932,971e34f50b31ec7ad9b25abc724f77e6eb26850a0cc6e268cf707e0f7ed4af19
model_error,initialize_project.m,C:\Users\catkin\Documents\baseline_zhou\zhou_icf_mpc_dual_timescale_prototype_iter01\reference\upstream_snapshots\zhou_icf_mpc_model_error_decomposition_iter01\initialize_project.m,2396,5c79913ca53deb39c042ad00bd03ac19e1e7d19b6e3c27a10a7590994c880ee4
model_error,README.md,C:\Users\catkin\Documents\baseline_zhou\zhou_icf_mpc_dual_timescale_prototype_iter01\reference\upstream_snapshots\zhou_icf_mpc_model_error_decomposition_iter01\README.md,4003,99f44bdc920fad4b72cf3816553a5ea65ae0800472523c6062c5413a021de854
model_error,reference\upstream_snapshots\ipmsm_probe\FINAL_IPMSM_PROBE_REPORT.md,C:\Users\catkin\Documents\baseline_zhou\zhou_icf_mpc_dual_timescale_prototype_iter01\reference\upstream_snapshots\zhou_icf_mpc_model_error_decomposition_iter01\reference\upstream_snapshots\ipmsm_probe\FINAL_IPMSM_PROBE_REPORT.md,3067,8c13f34fd68580ab787162443fbe6b2253aebfd6fb1bd3e3018a1f42880ddabe
model_error,reference\upstream_snapshots\ipmsm_probe\README.md,C:\Users\catkin\Documents\baseline_zhou\zhou_icf_mpc_dual_timescale_prototype_iter01\reference\upstream_snapshots\zhou_icf_mpc_model_error_decomposition_iter01\reference\upstream_snapshots\ipmsm_probe\README.md,2556,b63e025d4ee5ba3b023a524f418fdad9da356c1e152eb50e7fcfcb4e70fdb301
model_error,reference\upstream_snapshots\jd_jq_audit\all_constraint_cases.csv,C:\Users\catkin\Documents\baseline_zhou\zhou_icf_mpc_dual_timescale_prototype_iter01\reference\upstream_snapshots\zhou_icf_mpc_model_error_decomposition_iter01\reference\upstream_snapshots\jd_jq_audit\all_constraint_cases.csv,669078,cdfd03b1aaa0817ff1de5cead31a967b84bbdf3292e1fdc17099617de0197231
model_error,reference\upstream_snapshots\jd_jq_audit\README.md,C:\Users\catkin\Documents\baseline_zhou\zhou_icf_mpc_dual_timescale_prototype_iter01\reference\upstream_snapshots\zhou_icf_mpc_model_error_decomposition_iter01\reference\upstream_snapshots\jd_jq_audit\README.md,1350,14a66670c8691fcc6ba9c8b2356a85fb925f736c42ac686f455cc9a0f8bc922e
model_error,reference\upstream_snapshots\jd_jq_audit\vector_mode_distribution.csv,C:\Users\catkin\Documents\baseline_zhou\zhou_icf_mpc_dual_timescale_prototype_iter01\reference\upstream_snapshots\zhou_icf_mpc_model_error_decomposition_iter01\reference\upstream_snapshots\jd_jq_audit\vector_mode_distribution.csv,98113,174228ffb51ed3b371097b8fa16e1176641f1cca39d6fa262488299766b6a57e
