check,pass,observed,requirement,Jd_limit_A2,Jq_limit_A2
accepted_IPMSM_nominal,1,completed=1 illegal=0,complete and legal,0.16,0.16
Ld_equals_Lq_degeneration,1,Ld=0.001 Lq=0.001,P0 complete with Ld=Lq,0.16,0.16
negative_id_case,1,id_ref=-4 completed=1,negative-id complete,0.16,0.16
independent_alpha_d_q,1,alpha_d=1250 alpha_q=833.333333333,axis-specific and unequal,0.16,0.16
S2_nontrigger,1,S2_cycles=0,zero S2 cycles,0.16,0.16
S2_boundary_trigger,1,S2_cycles=1,>0 S2 cycles,0.16,0.16
representative_false_safe,1,aligned_joint_false_safe_rate=0.793103448276,>0 in frozen representative,0.16,0.16
sequence_term_floating_point,1,max_sequence_gap_A=3.7059670289162387e-15,<=2e-10 A,0.16,0.16
plant_oracle_replay,1,max_plant_gap_A=0,<=2e-09 A,0.16,0.16
three_run_repeatability,1,max_numeric_delta=0,<=1e-12,0.16,0.16
