cohort,case_id,evidence_role,category,range_class,model,sample_count,residual_rms_before,residual_rms_after,rms_relative_reduction,false_safe_count,false_safe_rate,false_safe_relative_reduction,false_safe_absolute_change_pp,false_alarm_count,false_alarm_rate,false_alarm_change_pp,maximum_consecutive_false_safe,improved_case_count,false_safe_improved_case_count,effective_in_multiple_cases
CASE:C05_negative_id,C05_negative_id,ENGINEERING_PRIMARY,core,reasonable_extension,B0,334,0.0129068701121956,0.0129068701121956,0,2,0.00598802395209581,0,0,0,0,0,1,0,0,0
CASE:C05_negative_id,C05_negative_id,ENGINEERING_PRIMARY,core,reasonable_extension,mean_trend,334,0.0129068701121956,0.0137897521719497,-0.0684040400251562,0,0,1,-0.598802395209581,0,0,0,0,0,0,0
CASE:C05_negative_id,C05_negative_id,ENGINEERING_PRIMARY,core,reasonable_extension,6,334,0.0129068701121956,0.0099245480928722,0.231064696041639,0,0,1,-0.598802395209581,0,0,0,0,0,0,0
CASE:C05_negative_id,C05_negative_id,ENGINEERING_PRIMARY,core,reasonable_extension,12,334,0.0129068701121956,0.011901196648183,0.0779176868807531,1,0.0029940119760479,0.5,-0.29940119760479,0,0,0,1,0,0,0
CASE:C05_negative_id,C05_negative_id,ENGINEERING_PRIMARY,core,reasonable_extension,6+12,334,0.0129068701121956,0.00857508294516125,0.335618715411204,0,0,1,-0.598802395209581,0,0,0,0,0,0,0
CASE:C06_low_bus_43p2V,C06_low_bus_43p2V,ENGINEERING_PRIMARY,core,reasonable_extension,B0,334,0.0114233093006264,0.0114233093006264,0,6,0.0179640718562874,0,0,0,0,0,2,0,0,0
CASE:C06_low_bus_43p2V,C06_low_bus_43p2V,ENGINEERING_PRIMARY,core,reasonable_extension,mean_trend,334,0.0114233093006264,0.0121475337437994,-0.0633988298936492,6,0.0179640718562874,0,0,0,0,0,2,0,0,0
CASE:C06_low_bus_43p2V,C06_low_bus_43p2V,ENGINEERING_PRIMARY,core,reasonable_extension,6,334,0.0114233093006264,0.00873466775361033,0.235364505701396,4,0.0119760479041916,0.333333333333333,-0.598802395209581,0,0,0,2,0,0,0
CASE:C06_low_bus_43p2V,C06_low_bus_43p2V,ENGINEERING_PRIMARY,core,reasonable_extension,12,334,0.0114233093006264,0.0110647609769921,0.0313874302269532,6,0.0179640718562874,0,0,0,0,0,2,0,0,0
CASE:C06_low_bus_43p2V,C06_low_bus_43p2V,ENGINEERING_PRIMARY,core,reasonable_extension,6+12,334,0.0114233093006264,0.0082614410170836,0.276790919367773,4,0.0119760479041916,0.333333333333333,-0.598802395209581,0,0,0,2,0,0,0
CASE:C09_S2_boundary,C09_S2_boundary,ENGINEERING_PRIMARY,core,normal,B0,300,0.0206920579064926,0.0206920579064926,0,6,0.02,0,0,0,0,0,1,0,0,0
CASE:C09_S2_boundary,C09_S2_boundary,ENGINEERING_PRIMARY,core,normal,mean_trend,300,0.0206920579064926,0.0211690526507893,-0.0230520688880851,6,0.02,0,0,0,0,0,1,0,0,0
CASE:C09_S2_boundary,C09_S2_boundary,ENGINEERING_PRIMARY,core,normal,6,300,0.0206920579064926,0.0156570322277979,0.243331315882061,0,0,1,-2,0,0,0,0,0,0,0
CASE:C09_S2_boundary,C09_S2_boundary,ENGINEERING_PRIMARY,core,normal,12,300,0.0206920579064926,0.0161122947601614,0.221329515267505,6,0.02,0,0,0,0,0,1,0,0,0
