transfer_type,case_id,evidence_role,held_out_id,model,donor_case_count,donor_cases,train_cycle_count,test_sample_count,rms_before,rms_after,rms_relative_reduction,transfer_pass,valid
leave_one_case_out_same_speed,C05_negative_id,ENGINEERING_PRIMARY,C05_negative_id,6,5,C06_low_bus_43p2V;P01_Ld_minus10;P02_Ld_plus10;P03_Lq_minus10;P04_Lq_plus10,5,334,0.0129068701121956,0.00993570442540367,0.230200324398128,1,1
leave_one_case_out_same_speed,C05_negative_id,ENGINEERING_PRIMARY,C05_negative_id,12,5,C06_low_bus_43p2V;P01_Ld_minus10;P02_Ld_plus10;P03_Lq_minus10;P04_Lq_plus10,5,334,0.0129068701121956,0.0125034843158545,0.0312535721545671,1,1
leave_one_case_out_same_speed,C05_negative_id,ENGINEERING_PRIMARY,C05_negative_id,6+12,5,C06_low_bus_43p2V;P01_Ld_minus10;P02_Ld_plus10;P03_Lq_minus10;P04_Lq_plus10,5,334,0.0129068701121956,0.0094045448365561,0.27135356947074,1,1
leave_one_case_out_same_speed,C06_low_bus_43p2V,ENGINEERING_PRIMARY,C06_low_bus_43p2V,6,5,C05_negative_id;P01_Ld_minus10;P02_Ld_plus10;P03_Lq_minus10;P04_Lq_plus10,5,334,0.0114233093006264,0.00901965742803151,0.210416422188892,1,1
leave_one_case_out_same_speed,C06_low_bus_43p2V,ENGINEERING_PRIMARY,C06_low_bus_43p2V,12,5,C05_negative_id;P01_Ld_minus10;P02_Ld_plus10;P03_Lq_minus10;P04_Lq_plus10,5,334,0.0114233093006264,0.0115839231653756,-0.0140601869845485,0,1
leave_one_case_out_same_speed,C06_low_bus_43p2V,ENGINEERING_PRIMARY,C06_low_bus_43p2V,6+12,5,C05_negative_id;P01_Ld_minus10;P02_Ld_plus10;P03_Lq_minus10;P04_Lq_plus10,5,334,0.0114233093006264,0.00922463749413092,0.192472404329885,1,1
leave_one_case_out_same_speed,C09_S2_boundary,ENGINEERING_PRIMARY,C09_S2_boundary,6,0,,0,300,NaN,NaN,NaN,0,0
leave_one_case_out_same_speed,C09_S2_boundary,ENGINEERING_PRIMARY,C09_S2_boundary,12,0,,0,300,NaN,NaN,NaN,0,0
leave_one_case_out_same_speed,C09_S2_boundary,ENGINEERING_PRIMARY,C09_S2_boundary,6+12,0,,0,300,NaN,NaN,NaN,0,0
leave_one_case_out_same_speed,P01_Ld_minus10,ENGINEERING_PRIMARY,P01_Ld_minus10,6,5,C05_negative_id;C06_low_bus_43p2V;P02_Ld_plus10;P03_Lq_minus10;P04_Lq_plus10,5,334,0.0248133175556565,0.0241686678384423,0.0259799890026098,1,1
leave_one_case_out_same_speed,P01_Ld_minus10,ENGINEERING_PRIMARY,P01_Ld_minus10,12,5,C05_negative_id;C06_low_bus_43p2V;P02_Ld_plus10;P03_Lq_minus10;P04_Lq_plus10,5,334,0.0248133175556565,0.0250940754730162,-0.0113148077329812,0,1
leave_one_case_out_same_speed,P01_Ld_minus10,ENGINEERING_PRIMARY,P01_Ld_minus10,6+12,5,C05_negative_id;C06_low_bus_43p2V;P02_Ld_plus10;P03_Lq_minus10;P04_Lq_plus10,5,334,0.0248133175556565,0.0244542546454564,0.0144705724816826,1,1
leave_one_case_out_same_speed,P02_Ld_plus10,ENGINEERING_PRIMARY,P02_Ld_plus10,6,5,C05_negative_id;C06_low_bus_43p2V;P01_Ld_minus10;P03_Lq_minus10;P04_Lq_plus10,5,334,0.0215490999324604,0.0199045877476124,0.0763146576888261,1,1
leave_one_case_out_same_speed,P02_Ld_plus10,ENGINEERING_PRIMARY,P02_Ld_plus10,12,5,C05_negative_id;C06_low_bus_43p2V;P01_Ld_minus10;P03_Lq_minus10;P04_Lq_plus10,5,334,0.0215490999324604,0.0213571819814701,0.00890607735784021,1,1
leave_one_case_out_same_speed,P02_Ld_plus10,ENGINEERING_PRIMARY,P02_Ld_plus10,6+12,5,C05_negative_id;C06_low_bus_43p2V;P01_Ld_minus10;P03_Lq_minus10;P04_Lq_plus10,5,334,0.0215490999324604,0.0196978739223954,0.0859073472148341,1,1
leave_one_case_out_same_speed,P03_Lq_minus10,ENGINEERING_PRIMARY,P03_Lq_minus10,6,5,C05_negative_id;C06_low_bus_43p2V;P01_Ld_minus10;P02_Ld_plus10;P04_Lq_plus10,5,333,0.025199880818792,0.0242927933649487,0.0359957041212209,1,1
leave_one_case_out_same_speed,P03_Lq_minus10,ENGINEERING_PRIMARY,P03_Lq_minus10,12,5,C05_negative_id;C06_low_bus_43p2V;P01_Ld_minus10;P02_Ld_plus10;P04_Lq_plus10,5,333,0.025199880818792,0.0247962230506505,0.0160182411593188,1,1
