transfer_type,case_id,evidence_role,held_out_id,model,donor_case_count,donor_cases,train_cycle_count,test_sample_count,rms_before,rms_after,rms_relative_reduction,transfer_pass,valid
leave_one_cycle_out,C05_negative_id,ENGINEERING_PRIMARY,1,6,0,,2,167,0.0128424227448479,0.0101016136448051,0.213418383314183,1,1
leave_one_cycle_out,C05_negative_id,ENGINEERING_PRIMARY,1,12,0,,2,167,0.0128424227448479,0.0121186184133909,0.0563604193567998,1,1
leave_one_cycle_out,C05_negative_id,ENGINEERING_PRIMARY,1,6+12,0,,2,167,0.0128424227448479,0.00916379356070136,0.286443551752905,1,1
leave_one_cycle_out,C05_negative_id,ENGINEERING_PRIMARY,2,6,0,,2,167,0.0126723287635234,0.00978545033855726,0.227809621959611,1,1
leave_one_cycle_out,C05_negative_id,ENGINEERING_PRIMARY,2,12,0,,2,167,0.0126723287635234,0.0118443638200096,0.0653364475436479,1,1
leave_one_cycle_out,C05_negative_id,ENGINEERING_PRIMARY,2,6+12,0,,2,167,0.0126723287635234,0.00868574372361755,0.314589773852857,1,1
leave_one_cycle_out,C05_negative_id,ENGINEERING_PRIMARY,3,6,0,,2,167,0.0131372248171123,0.0100694250998322,0.233519617726575,1,1
leave_one_cycle_out,C05_negative_id,ENGINEERING_PRIMARY,3,12,0,,2,167,0.0131372248171123,0.0119495984165275,0.0904016196052149,1,1
leave_one_cycle_out,C05_negative_id,ENGINEERING_PRIMARY,3,6+12,0,,2,167,0.0131372248171123,0.00846065138185563,0.355978793113525,1,1
leave_one_cycle_out,C06_low_bus_43p2V,ENGINEERING_PRIMARY,1,6,0,,2,167,0.011607735175,0.00857921885751929,0.260905014787324,1,1
leave_one_cycle_out,C06_low_bus_43p2V,ENGINEERING_PRIMARY,1,12,0,,2,167,0.011607735175,0.0111479297883316,0.0396119811260627,1,1
leave_one_cycle_out,C06_low_bus_43p2V,ENGINEERING_PRIMARY,1,6+12,0,,2,167,0.011607735175,0.00794712419534108,0.315359622223542,1,1
leave_one_cycle_out,C06_low_bus_43p2V,ENGINEERING_PRIMARY,2,6,0,,2,167,0.0116369859865548,0.0089040372840772,0.234850218573366,1,1
