case_id,window_id,evidence_role,order,frequency_hz,frequency_resolution_hz,order_resolution,sample_rate_hz,nyquist_frequency_hz,nyquist_order,fft_bin_frequency_hz,fft_amplitude_d,fft_amplitude_q,fft_phase_d,fft_phase_q,amplitude_d,amplitude_q,complex_amplitude,phase_d,phase_q,local_noise_floor_d,local_noise_floor_q,local_noise_floor,peak_snr_db,energy_share,leakage_fraction,aliasing_flag,validity
C01_nominal_100rpm_10A,C01_nominal_100rpm_10A__steady,ENGINEERING_PRIMARY,6,119.999999999999,NaN,NaN,10000,5000,250.000000000001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,EXCLUDED:fewer_than_3_complete_cycles
C01_nominal_100rpm_10A,C01_nominal_100rpm_10A__steady,ENGINEERING_PRIMARY,12,239.999999999999,NaN,NaN,10000,5000,250.000000000001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,EXCLUDED:fewer_than_3_complete_cycles
C02_light_100rpm_4A,C02_light_100rpm_4A__steady,ENGINEERING_PRIMARY,6,119.999999999999,NaN,NaN,10000,5000,250.000000000001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,EXCLUDED:fewer_than_3_complete_cycles
C02_light_100rpm_4A,C02_light_100rpm_4A__steady,ENGINEERING_PRIMARY,12,239.999999999999,NaN,NaN,10000,5000,250.000000000001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,EXCLUDED:fewer_than_3_complete_cycles
C03_light_200rpm_6A,C03_light_200rpm_6A__steady,ENGINEERING_PRIMARY,6,239.999999999999,NaN,NaN,10000,5000,125.000000000001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,EXCLUDED:fewer_than_3_complete_cycles
C03_light_200rpm_6A,C03_light_200rpm_6A__steady,ENGINEERING_PRIMARY,12,479.999999999997,NaN,NaN,10000,5000,125.000000000001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,EXCLUDED:fewer_than_3_complete_cycles
C04_high_200rpm_18A,C04_high_200rpm_18A__steady,ENGINEERING_PRIMARY,6,239.999999999999,NaN,NaN,10000,5000,125.000000000001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,EXCLUDED:fewer_than_3_complete_cycles
C04_high_200rpm_18A,C04_high_200rpm_18A__steady,ENGINEERING_PRIMARY,12,479.999999999997,NaN,NaN,10000,5000,125.000000000001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,EXCLUDED:fewer_than_3_complete_cycles
C05_negative_id,C05_negative_id__steady,ENGINEERING_PRIMARY,6,359.999999999999,20,0.333333333333334,10000,5000,83.3333333333335,360,0.00864346392999278,0.00765714560172511,-1.53400287701452,1.65498382390471,0.0086442078832527,0.00766077689898627,0.0115503174252888,-0.0407554169597022,-3.13490550339104,0.000379689178065961,0.000340213089134817,0.000509812532171444,27.1036682519172,0.401257390225486,0.00025670499634888,0,VALID
C05_negative_id,C05_negative_id__steady,ENGINEERING_PRIMARY,12,719.999999999998,20,0.333333333333334,10000,5000,83.3333333333335,720,0.00359096205092581,0.0058618928129975,2.54656513039189,-1.12471308531845,0.0035972581316108,0.00587018402069142,0.00688471687887171,-0.751890340503644,1.86156012347854,0.000716165491805065,0.000533670296308298,0.000893138845205032,17.7393421380713,0.142563180513074,0.00150464173266457,0,VALID
C06_low_bus_43p2V,C06_low_bus_43p2V__steady,ENGINEERING_PRIMARY,6,359.999999999999,20,0.333333333333334,10000,5000,83.3333333333335,360,0.00780626902779811,0.0072719386457962,-1.7931196295666,1.34138868818604,0.00780834499200393,0.00727499896907799,0.0106722004063941,-0.299793903317853,2.83482223052961,0.000378319164864835,0.000259677191394711,0.00045886559495638,27.3313695161939,0.431241077407638,0.000337794133626154,0,VALID
C06_low_bus_43p2V,C06_low_bus_43p2V__steady,ENGINEERING_PRIMARY,12,719.999999999998,20,0.333333333333334,10000,5000,83.3333333333335,720,0.00259495979282135,0.00343810364976205,2.72472008328197,-1.48101665988208,0.00259830455957679,0.00344509574018018,0.00431507488270194,-0.573968137738732,1.50582322912145,0.000457866032783752,0.000436270751649173,0.000632434560031049,16.679454847568,0.0704999569730567,0.00176037500733691,0,VALID
C07_known_false_safe,C07_known_false_safe__steady,ENGINEERING_PRIMARY,6,600,NaN,NaN,10000,5000,50,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,EXCLUDED:no_registered_steady_phase;early_termination
C07_known_false_safe,C07_known_false_safe__steady,ENGINEERING_PRIMARY,12,1200,NaN,NaN,10000,5000,50,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,EXCLUDED:no_registered_steady_phase;early_termination
C08_S2_nontrigger,C08_S2_nontrigger__steady,ENGINEERING_PRIMARY,6,119.999999999999,NaN,NaN,10000,5000,250.000000000001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,EXCLUDED:fewer_than_3_complete_cycles
C08_S2_nontrigger,C08_S2_nontrigger__steady,ENGINEERING_PRIMARY,12,239.999999999999,NaN,NaN,10000,5000,250.000000000001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,EXCLUDED:fewer_than_3_complete_cycles
C09_S2_boundary,C09_S2_boundary__steady,ENGINEERING_PRIMARY,6,599.999999999996,20,0.200000000000001,10000,5000,50.0000000000003,600,0.0160295721727469,0.0104480902201654,0.641237198425604,-2.22631717072365,0.0160259409671919,0.0104438216112009,0.0191286223688615,-0.379228435617287,3.03640866696497,1.8898308261641e-06,1.67512612628141e-06,2.52537286167224e-06,77.587163688602,0.427512827777683,0.000280880481070718,0,VALID
C09_S2_boundary,C09_S2_boundary__steady,ENGINEERING_PRIMARY,12,1199.99999999999,20,0.200000000000001,10000,5000,50.0000000000003,1200,0.0149543210547004,0.0106527249283943,2.68937513322306,-0.528863833207216,0.014950853346941,0.0106494250617747,0.0183558783485861,0.649587672793029,-2.56862079310334,1.04888543824418e-06,2.78269234629539e-06,2.97380856086797e-06,75.8092432689676,0.393669804938396,0.000258169251041946,0,VALID
D01_iq_step,D01_iq_step__steady,SECONDARY_DYNAMIC,6,360,NaN,NaN,10000,5000,83.3333333333332,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,EXCLUDED:no_registered_steady_phase;early_termination
D01_iq_step,D01_iq_step__steady,SECONDARY_DYNAMIC,12,720.000000000001,NaN,NaN,10000,5000,83.3333333333332,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,EXCLUDED:no_registered_steady_phase;early_termination
D02_id_step,D02_id_step__steady,SECONDARY_DYNAMIC,6,359.999999999999,20,0.333333333333334,10000,5000,83.3333333333335,360,0.011444942617181,0.00151350682437434,3.13121446921745,-1.21239236994453,0.0112915351180036,0.00145819567580309,0.0113853019261695,-1.6693322895807,0.313281338012097,0.000382251570824274,0.000706115203830214,0.000802941432781875,23.0332136700468,0.394132405007217,0.0139901290862646,0,VALID
D02_id_step,D02_id_step__steady,SECONDARY_DYNAMIC,12,719.999999999998,20,0.333333333333334,10000,5000,83.3333333333335,720,0.00360739226678328,0.00434248794649708,0.249267194771141,-0.0422280498317629,0.00344140032684998,0.00446987128969568,0.00564118653796246,-2.96079830793509,2.98440711168512,0.000588090743753917,0.0011214034456998,0.00126625290164186,12.9770001456081,0.0967595769381498,0.000745958730152544,0,VALID
D03_id_iq_step,D03_id_iq_step__steady,SECONDARY_DYNAMIC,6,359.999999999999,20,0.333333333333334,10000,5000,83.3333333333335,360,0.00852351712359643,0.00711572461474276,-1.37598509443237,1.85456852056862,0.00852442657142612,0.00711898626447854,0.0111061160540249,0.117268759776857,-2.93540427528642,0.000221983875671469,0.000213506221115019,0.000307996343343459,31.1403329386856,0.399355789923054,0.000251085264473983,0,VALID
