case_id,window_id,cycle_id,split,evidence_role,axis,order,c0_real,c0_imag,c_cos_real,c_cos_imag,c_sin_real,c_sin_imag,amplitude,phase,complex_coefficient_real,complex_coefficient_imag,residual_vector_rms,interpolation_rmse,extrapolated_grid_fraction,angle_points,valid
C05_negative_id,C05_negative_id__steady,1,calibration,ENGINEERING_PRIMARY,d,6,9.22257461391051e-06,0,0.00829677760059444,0,9.43617207568789e-05,0,0.00829731418520896,-0.0113728072502862,0.00829677760059444,-9.43617207568789e-05,0.0084021468384391,0.00120937762537868,0.00390625,256,1
C05_negative_id,C05_negative_id__steady,1,calibration,ENGINEERING_PRIMARY,q,6,-1.36180261041237e-05,0,-0.00750460890889897,0,0.000309574559178285,0,0.00751099136487429,-3.10036477023566,-0.00750460890889897,-0.000309574559178285,0.0084021468384391,0.00120937762537868,0.00390625,256,1
C05_negative_id,C05_negative_id__steady,1,calibration,ENGINEERING_PRIMARY,dq_positive,6,9.22257461391051e-06,-1.36180261041237e-05,0.00829677760059444,-0.00750460890889897,9.43617207568789e-05,0.000309574559178285,0.0114810126786968,-0.723314431395773,0.00860635215977272,-0.00759897062965584,0.0084021468384391,0.00120937762537868,0.00390625,256,1
C05_negative_id,C05_negative_id__steady,1,calibration,ENGINEERING_PRIMARY,dq_negative,6,9.22257461391051e-06,-1.36180261041237e-05,0.00829677760059444,-0.00750460890889897,9.43617207568789e-05,0.000309574559178285,0.0108952822732674,-0.74794481600019,0.00798720304141615,-0.00741024718814209,0.0084021468384391,0.00120937762537868,0.00390625,256,1
C05_negative_id,C05_negative_id__steady,1,calibration,ENGINEERING_PRIMARY,d,12,9.22257461391051e-06,0,0.00261018635571399,0,0.00161546254285456,0,0.00306965666466489,-0.554205811419114,0.00261018635571399,-0.00161546254285456,0.0084021468384391,0.00120937762537868,0.00390625,256,1
C05_negative_id,C05_negative_id__steady,1,calibration,ENGINEERING_PRIMARY,q,12,-1.36180261041237e-05,0,-0.00178713317408809,0,-0.00494574112390149,0,0.0052587261049209,1.9175446495906,-0.00178713317408809,0.00494574112390149,0.0084021468384391,0.00120937762537868,0.00390625,256,1
C05_negative_id,C05_negative_id__steady,1,calibration,ENGINEERING_PRIMARY,dq_positive,12,9.22257461391051e-06,-1.36180261041237e-05,0.00261018635571399,-0.00178713317408809,0.00161546254285456,-0.00494574112390149,0.0041270417599244,-2.17233895031915,-0.00233555476818751,-0.00340259571694266,0.0084021468384391,0.00120937762537868,0.00390625,256,1
C05_negative_id,C05_negative_id__steady,1,calibration,ENGINEERING_PRIMARY,dq_negative,12,9.22257461391051e-06,-1.36180261041237e-05,0.00261018635571399,-0.00178713317408809,0.00161546254285456,-0.00494574112390149,0.00755787740591474,-0.0227160864307295,0.00755592747961548,-0.00017167063123353,0.0084021468384391,0.00120937762537868,0.00390625,256,1
C05_negative_id,C05_negative_id__steady,2,validation,ENGINEERING_PRIMARY,d,6,-2.65501898830875e-05,0,0.00847638958784284,0,-1.81731174462151e-05,0,0.00847640906912168,0.00214396582567233,0.00847638958784284,1.81731174462151e-05,0.00796734385384509,0.0012421067478319,0.00390625,256,1
C05_negative_id,C05_negative_id__steady,2,validation,ENGINEERING_PRIMARY,q,6,3.28835466495068e-05,0,-0.00757172084876824,0,0.000194446817132972,0,0.00757421719891665,-3.11591763304192,-0.00757172084876824,-0.000194446817132972,0.00796734385384509,0.0012421067478319,0.00390625,256,1
