case_id,window_id,category,range_class,evidence_role,case_sample_count,complete_termination,start_sample,end_sample,start_time_s,end_time_s,window_sample_count,electrical_cycles,mean_speed,speed_variation,mean_electrical_frequency_hz,sample_rate_hz,nyquist_frequency_hz,nyquist_order,valid_for_fft,valid_for_order_tracking,exclusion_reason
C01_nominal_100rpm_10A,C01_nominal_100rpm_10A__steady,core,normal,ENGINEERING_PRIMARY,1198,1,601,1100,0.06,0.1099,500,1,100,0,19.9999999999999,10000,5000,250.000000000001,0,0,fewer_than_3_complete_cycles
C02_light_100rpm_4A,C02_light_100rpm_4A__steady,core,normal,ENGINEERING_PRIMARY,1198,1,601,1100,0.06,0.1099,500,1,100,0,19.9999999999999,10000,5000,250.000000000001,0,0,fewer_than_3_complete_cycles
C03_light_200rpm_6A,C03_light_200rpm_6A__steady,core,normal,ENGINEERING_PRIMARY,1198,1,601,1100,0.06,0.1099,500,2,200,0,39.9999999999998,10000,5000,125.000000000001,0,0,fewer_than_3_complete_cycles
C04_high_200rpm_18A,C04_high_200rpm_18A__steady,core,normal,ENGINEERING_PRIMARY,1198,1,601,1100,0.06,0.1099,500,2,200,0,39.9999999999998,10000,5000,125.000000000001,0,0,fewer_than_3_complete_cycles
C05_negative_id,C05_negative_id__steady,core,reasonable_extension,ENGINEERING_PRIMARY,1198,1,601,1100,0.06,0.1099,500,3,300,0,59.9999999999999,10000,5000,83.3333333333335,1,1,
C06_low_bus_43p2V,C06_low_bus_43p2V__steady,core,reasonable_extension,ENGINEERING_PRIMARY,1198,1,601,1100,0.06,0.1099,500,3,300,0,59.9999999999999,10000,5000,83.3333333333335,1,1,
C07_known_false_safe,C07_known_false_safe__steady,core,normal,ENGINEERING_PRIMARY,29,0,1,29,NaN,NaN,0,0,500,0,100,10000,5000,50,0,0,no_registered_steady_phase;early_termination
C08_S2_nontrigger,C08_S2_nontrigger__steady,core,normal,ENGINEERING_PRIMARY,1198,1,601,1100,0.06,0.1099,500,1,100,0,19.9999999999999,10000,5000,250.000000000001,0,0,fewer_than_3_complete_cycles
C09_S2_boundary,C09_S2_boundary__steady,core,normal,ENGINEERING_PRIMARY,1198,1,601,1100,0.06,0.1099,500,5,500,0,99.9999999999993,10000,5000,50.0000000000003,1,1,
D01_iq_step,D01_iq_step__steady,dynamic,normal,SECONDARY_DYNAMIC,451,0,1,451,NaN,NaN,0,0,300,0,60.0000000000001,10000,5000,83.3333333333332,0,0,no_registered_steady_phase;early_termination
D02_id_step,D02_id_step__steady,dynamic,reasonable_extension,SECONDARY_DYNAMIC,1198,1,601,1100,0.06,0.1099,500,3,300,0,59.9999999999999,10000,5000,83.3333333333335,1,1,
D03_id_iq_step,D03_id_iq_step__steady,dynamic,reasonable_extension,SECONDARY_DYNAMIC,1198,1,601,1100,0.06,0.1099,500,3,300,0,59.9999999999999,10000,5000,83.3333333333335,1,1,
D04_torque_ramp,D04_torque_ramp__steady,dynamic,normal,SECONDARY_DYNAMIC,1198,1,601,1100,0.06,0.1099,500,4,400,0,79.9999999999996,10000,5000,62.5000000000003,1,1,
D05_torque_step,D05_torque_step__steady,dynamic,normal,SECONDARY_DYNAMIC,457,0,1,457,NaN,NaN,0,0,400,0,80.0000000000002,10000,5000,62.4999999999998,0,0,no_registered_steady_phase;early_termination
P01_Ld_minus10,P01_Ld_minus10__steady,parameter,reasonable_extension,ENGINEERING_PRIMARY,1198,1,601,1100,0.06,0.1099,500,3,300,0,59.9999999999999,10000,5000,83.3333333333335,1,1,
P02_Ld_plus10,P02_Ld_plus10__steady,parameter,reasonable_extension,ENGINEERING_PRIMARY,1198,1,601,1100,0.06,0.1099,500,3,300,0,59.9999999999999,10000,5000,83.3333333333335,1,1,
P03_Lq_minus10,P03_Lq_minus10__steady,parameter,reasonable_extension,ENGINEERING_PRIMARY,1198,1,601,1100,0.06,0.1099,500,3,300,0,59.9999999999999,10000,5000,83.3333333333335,1,1,
P04_Lq_plus10,P04_Lq_plus10__steady,parameter,reasonable_extension,ENGINEERING_PRIMARY,1198,1,601,1100,0.06,0.1099,500,3,300,0,59.9999999999999,10000,5000,83.3333333333335,1,1,
P05_cross_mismatch,P05_cross_mismatch__steady,parameter,reasonable_extension,ENGINEERING_PRIMARY,1198,1,601,1100,0.06,0.1099,500,4,400,0,79.9999999999996,10000,5000,62.5000000000003,1,1,
P06_controller_high_L,P06_controller_high_L__steady,parameter,reasonable_extension,ENGINEERING_PRIMARY,1198,1,601,1100,0.06,0.1099,500,4,400,0,79.9999999999996,10000,5000,62.5000000000003,1,1,
P07_controller_low_L,P07_controller_low_L__steady,parameter,reasonable_extension,ENGINEERING_PRIMARY,1198,1,601,1100,0.06,0.1099,500,4,400,0,79.9999999999996,10000,5000,62.5000000000003,1,1,
P08_opposed_20pct,P08_opposed_20pct__steady,parameter,reasonable_extension,ENGINEERING_PRIMARY,1198,1,601,1100,0.06,0.1099,500,4,400,0,79.9999999999996,10000,5000,62.5000000000003,1,1,
B01_500rpm_20A_48V_fast,B01_500rpm_20A_48V_fast__steady,boundary,stress_test,SECONDARY_STRESS,3,0,1,3,NaN,NaN,0,0,500,0,100,10000,5000,50,0,0,no_registered_steady_phase;early_termination;stress_test_secondary_only
B02_500rpm_negid_48V,B02_500rpm_negid_48V__steady,boundary,stress_test,SECONDARY_STRESS,451,0,1,451,NaN,NaN,0,0,500,0,100,10000,5000,50,0,0,no_registered_steady_phase;early_termination;stress_test_secondary_only
